Metabolite,np OLFR2 A,np OLFR2 B,np OLFR2 C,np GPI1 A,np GPI1 B,NP GPI1 C,p OLFR2 A,p OLFR2 B,p GPI1 A,p GPI1 B
Beta-Alanine-13C-0,0,0,0,0,0,0,0,0,0,0
Beta-Alanine-13C-1,0,0,0,0,0,0,0,0,12276,11144
Beta-Alanine-13C-2,0,0,0,0,0,0,0,0,0,0
Beta-Alanine-13C-3,0,0,0,0,0,0,0,0,0,0
L-Alanine-13C-0,1075756,1226890,856796,1293463,1496918,1395972,4698670,2973272,4605862,4667022
L-Alanine-13C-1,24652,43945,29820,79094,83320,88995,224791,183146,576287,620068
L-Alanine-13C-2,125152,145576,64158,175268,192899,274535,931861,732167,1541646,1547417
L-Alanine-13C-3,4801030,5280686,5150669,4504337,5308810,5752600,23070404,20336240,26745644,27885438
Sarcosine-13C-0,382755,463937,0,369106,434856,547346,1952533,1537084,2530482,2212065
Sarcosine-13C-1,0,0,0,0,12110,29730,62251,41591,222956,210023
Sarcosine-13C-2,36969,37569,38425,31949,57141,83798,233981,237726,780224,698712
Sarcosine-13C-3,2031118,2232162,2108420,1572980,2358508,2855921,10173713,10628184,16151558,14094997
Betaine-13C-0,1599563,1018247,914697,1115921,1388791,1167586,3351263,1041295,1640229,2784380
Betaine-13C-1,41868,26877,16865,0,39228,26981,75763,22851,47434,29750
Betaine-13C-2,0,0,0,0,0,0,0,0,0,0
Betaine-13C-3,0,0,0,0,0,0,0,0,0,0
Betaine-13C-4,0,0,0,0,0,0,0,0,0,0
Betaine-13C-5,0,0,0,0,0,0,0,0,0,0
L-Valine-13C-0,11328204,11661317,8612517,8620252,9322067,7725954,23109674,10624565,11928142,16050589
L-Valine-13C-1,558158,635112,320709,367905,365506,294644,1267166,529638,509213,828853
L-Valine-13C-2,0,0,0,0,0,0,16681,0,12082,12276
L-Valine-13C-3,0,0,0,0,0,0,0,0,0,0
L-Valine-13C-4,0,0,0,0,0,0,0,14097,0,0
L-Valine-13C-5,21073,13374,14183,0,0,0,20760,334744,11821,18721
N-Acetyl-L-alanine-13C-0,0,0,0,0,0,0,0,0,0,0
N-Acetyl-L-alanine-13C-1,0,0,0,0,0,0,0,0,0,0
N-Acetyl-L-alanine-13C-2,0,0,0,0,0,0,0,0,0,0
N-Acetyl-L-alanine-13C-3,0,0,0,0,0,0,0,0,0,0
N-Acetyl-L-alanine-13C-4,0,0,0,0,0,0,0,0,0,0
N-Acetyl-L-alanine-13C-5,0,0,0,0,0,0,0,0,0,0
4-Hydroxyproline-13C-0,52527768,51749420,44861444,35423592,37598364,35463424,71808736,59573620,60893580,71741344
4-Hydroxyproline-13C-1,2867611,2827578,2442920,1906742,2138640,1726553,3959640,3348174,3528545,4198208
4-Hydroxyproline-13C-2,0,0,0,0,0,0,0,32623,43311,35108
4-Hydroxyproline-13C-3,0,0,0,0,0,0,0,0,0,0
4-Hydroxyproline-13C-4,0,0,0,0,0,0,0,0,0,0
4-Hydroxyproline-13C-5,0,0,0,0,0,0,0,0,0,0
L-Isoleucine-13C-0,23309526,25033886,17707794,16587162,16267296,16903468,32381342,24945308,24680690,35423024
L-Isoleucine-13C-1,1582482,1614298,1084312,989872,971588,1017953,2219833,1580852,1717251,2537110
L-Isoleucine-13C-2,18913,20497,0,0,0,14740,22254,24467,29008,39697
L-Isoleucine-13C-3,0,0,0,0,0,0,0,0,0,0
L-Isoleucine-13C-4,0,0,0,0,0,0,0,0,0,0
L-Isoleucine-13C-5,0,0,0,0,0,0,0,26098,0,0
L-Isoleucine-13C-6,60883,24750,18144,0,0,20522,24958,1153113,50485,67211
L-Leucine-13C-0,31414830,31048858,24205384,23652686,25939990,23027224,50719472,32309412,33811628,45092252
L-Leucine-13C-1,2050389,2167826,1655668,1527114,1744552,1386698,3310998,2186210,2272329,3198320
L-Leucine-13C-2,23587,23959,24939,15673,0,0,41856,30599,28697,50424
L-Leucine-13C-3,0,0,0,0,0,0,0,0,0,0
L-Leucine-13C-4,0,0,0,0,0,0,0,0,0,0
L-Leucine-13C-5,0,0,0,0,0,0,0,53051,0,0
L-Leucine-13C-6,265617,44526,86678,32394,48125,48940,71000,3338310,72245,192197
Dihydroxyacetone phosphate-13C-0,0,0,0,0,0,0,0,0,0,0
Dihydroxyacetone phosphate-13C-1,0,0,0,0,0,0,0,0,0,0
Dihydroxyacetone phosphate-13C-2,0,0,0,0,0,0,0,0,0,0
Dihydroxyacetone phosphate-13C-3,114087,0,129870,35489,43758,0,73272,343974,121125,119489
D-Glyceraldehyde 3-phosphate-13C-0,0,0,0,0,0,0,0,0,0,0
D-Glyceraldehyde 3-phosphate-13C-1,0,0,0,0,0,0,0,0,0,0
D-Glyceraldehyde 3-phosphate-13C-2,0,0,0,0,0,0,0,0,0,0
D-Glyceraldehyde 3-phosphate-13C-3,0,0,0,0,0,0,0,0,0,0
Ribose 1-phosphate-13C-0,0,0,0,0,0,0,0,0,0,0
Ribose 1-phosphate-13C-1,0,0,0,0,0,0,0,0,0,0
Ribose 1-phosphate-13C-2,0,0,0,0,0,0,0,0,0,0
Ribose 1-phosphate-13C-3,0,0,0,0,0,0,0,0,0,0
Ribose 1-phosphate-13C-4,0,0,0,0,0,0,0,0,0,0
Ribose 1-phosphate-13C-5,0,0,0,0,0,0,0,0,0,0
D-Ribose 5-phosphate-13C-0,0,0,0,0,0,0,0,0,0,0
D-Ribose 5-phosphate-13C-1,0,0,0,0,0,0,0,0,0,0
D-Ribose 5-phosphate-13C-2,0,0,0,0,0,0,0,0,0,0
D-Ribose 5-phosphate-13C-3,0,0,0,0,0,0,0,0,0,0
D-Ribose 5-phosphate-13C-4,0,0,0,0,0,0,0,0,0,0
D-Ribose 5-phosphate-13C-5,20721,0,27961,0,15236,0,12051,16571,0,15794
Fructose 6-phosphate-13C-0,0,0,0,0,0,0,0,0,0,0
Fructose 6-phosphate-13C-1,0,0,0,0,0,0,0,0,0,0
Fructose 6-phosphate-13C-2,0,0,0,0,0,0,0,0,0,0
Fructose 6-phosphate-13C-3,0,0,0,0,0,0,0,0,0,0
Fructose 6-phosphate-13C-4,62912,52715,0,44253,58548,43650,47415,0,70019,82814
Fructose 6-phosphate-13C-5,0,0,0,0,0,0,0,0,0,0
Fructose 6-phosphate-13C-6,0,0,47759,0,22233,0,18564,65639,17453,25354
Glucose 6-phosphate-13C-0,0,0,0,0,0,0,0,0,0,0
Glucose 6-phosphate-13C-1,0,0,0,0,0,0,0,0,0,0
Glucose 6-phosphate-13C-2,0,0,0,0,0,0,0,0,0,0
Glucose 6-phosphate-13C-3,0,0,0,0,0,0,0,0,0,0
Glucose 6-phosphate-13C-4,0,0,0,0,0,0,0,0,0,0
Glucose 6-phosphate-13C-5,0,0,0,0,0,0,0,0,0,12487
Glucose 6-phosphate-13C-6,0,0,70054,79993,136258,79120,43632,91189,90233,306541
N-Acetylserine-13C-0,0,0,0,0,0,0,0,0,0,0
N-Acetylserine-13C-1,0,0,0,0,0,0,0,0,0,0
N-Acetylserine-13C-2,0,0,0,0,0,0,0,0,0,0
N-Acetylserine-13C-3,0,0,0,0,0,0,63219,14665,0,0
N-Acetylserine-13C-4,0,0,0,0,0,0,36045,39333,0,0
N-Acetylserine-13C-5,0,0,0,0,0,0,0,0,0,0
L-Glutamic acid-13C-0,132718840,124449208,131454440,127564440,126467280,123212184,144145632,127481928,143932672,159789504
L-Glutamic acid-13C-1,9299144,8998039,9690995,12407559,12048140,11936981,10528155,9644841,12166836,13433161
L-Glutamic acid-13C-2,43017300,40226048,44116436,49472516,47755336,47156052,47832780,44192576,42537284,46375604
L-Glutamic acid-13C-3,10656917,10402681,11597741,15956045,15502040,15629403,11766854,10995804,11395585,12667326
L-Glutamic acid-13C-4,17337054,16548132,18238086,20377138,19590560,19891068,16950882,16243504,14215334,15131502
L-Glutamic acid-13C-5,10386188,9719412,11170886,9581389,9239248,9564923,9003757,10953929,6823526,6944898
Creatine-13C-0,6059289,4159616,4107760,3602753,4426977,4013804,5798299,2708752,1955037,2751705
Creatine-13C-1,156891,100246,100888,75605,73789,92465,105848,95372,33616,58142
Creatine-13C-2,104609,39080,50660,30684,32925,37942,52971,72797,33142,81486
Creatine-13C-3,0,0,0,0,0,0,0,0,0,0
Creatine-13C-4,0,0,0,0,0,0,0,0,0,0
L-Lysine-13C-0,0,0,0,0,0,0,0,0,0,0
L-Lysine-13C-1,0,0,0,0,0,0,0,0,0,0
L-Lysine-13C-2,0,0,0,0,0,0,0,0,0,0
L-Lysine-13C-3,0,0,0,0,0,0,0,0,0,0
L-Lysine-13C-4,0,0,0,0,0,0,0,0,0,0
L-Lysine-13C-5,0,0,0,0,0,0,0,0,0,0
L-Lysine-13C-6,0,0,0,0,0,0,0,0,0,0
L-Arginine-13C-0,24430536,21665418,23323414,17825714,22471660,16923092,33580696,22677442,25480810,34244904
L-Arginine-13C-1,1674890,1378242,1596137,1162420,1482795,1072448,2408284,1445742,1704758,2437865
L-Arginine-13C-2,0,0,0,0,0,0,0,0,0,0
L-Arginine-13C-3,0,0,0,0,0,0,0,0,0,0
L-Arginine-13C-4,0,0,0,0,0,0,0,0,0,0
L-Arginine-13C-5,0,0,0,0,0,0,0,0,0,0
L-Arginine-13C-6,0,0,0,0,0,0,0,0,0,0
L-Kynurenine-13C-0,20198,19315,16166,17809,17344,0,267119,272659,130893,116202
L-Kynurenine-13C-1,0,0,0,0,0,0,22078,0,0,0
L-Kynurenine-13C-2,0,0,0,0,0,0,0,0,0,0
L-Kynurenine-13C-3,0,0,0,0,0,0,0,0,0,0
L-Kynurenine-13C-4,0,0,0,0,0,0,0,0,0,0
L-Kynurenine-13C-5,0,0,0,0,0,0,0,0,0,0
L-Kynurenine-13C-6,0,0,0,0,0,0,0,0,0,0
L-Kynurenine-13C-7,0,0,0,0,0,0,0,0,0,0
L-Kynurenine-13C-8,0,0,0,0,0,0,0,0,0,0
L-Kynurenine-13C-9,0,0,0,0,0,0,0,0,0,0
L-Kynurenine-13C-10,0,0,0,0,0,0,0,0,0,0
Inosine-13C-0,43004,0,56533,47237,58866,58458,19284,124100,187230,138362
Inosine-13C-1,0,0,0,0,0,0,0,0,23590,21711
Inosine-13C-2,0,0,0,0,0,0,0,0,0,0
Inosine-13C-3,0,0,0,0,0,0,0,0,0,12705
Inosine-13C-4,21424,0,19313,0,22758,11529,0,22440,37442,29327
Inosine-13C-5,926822,159925,930828,594344,661716,615548,160927,1230032,1405743,983095
Inosine-13C-6,601985,122368,757372,550181,621128,592788,212186,1312391,876165,679500
Inosine-13C-7,269648,79582,333157,269617,366957,299600,102033,912163,397160,319345
Inosine-13C-8,159531,59521,161337,153607,160523,171136,110579,636365,234115,213821
Inosine-13C-9,35651,24293,45013,46711,38562,45281,0,217752,76709,54770
Inosine-13C-10,0,0,0,0,0,0,0,0,0,0
Xanthosine-13C-0,0,0,0,0,0,0,0,0,0,0
Xanthosine-13C-1,0,0,0,0,0,0,0,0,11594,0
Xanthosine-13C-2,0,0,0,0,0,0,0,0,0,0
Xanthosine-13C-3,0,0,0,0,0,0,0,0,0,0
Xanthosine-13C-4,0,0,0,0,0,0,0,0,0,0
Xanthosine-13C-5,0,0,0,0,0,0,0,0,0,0
Xanthosine-13C-6,0,0,0,0,0,0,0,0,0,0
Xanthosine-13C-7,0,0,0,0,0,0,0,0,0,0
Xanthosine-13C-8,0,0,0,0,0,0,0,0,0,0
Xanthosine-13C-9,0,0,0,0,0,0,0,0,0,0
Xanthosine-13C-10,0,0,0,0,0,0,0,0,0,0
Cyclic AMP-13C-0,0,0,0,0,0,0,0,0,0,0
Cyclic AMP-13C-1,0,0,0,0,0,0,0,0,0,0
Cyclic AMP-13C-2,0,0,0,0,0,0,0,0,0,0
Cyclic AMP-13C-3,0,0,0,0,0,0,0,0,0,0
Cyclic AMP-13C-4,0,0,0,0,0,0,0,0,0,0
Cyclic AMP-13C-5,0,0,0,0,0,0,0,12036,0,11274
Cyclic AMP-13C-6,0,0,11139,0,0,0,0,0,0,0
Cyclic AMP-13C-7,0,0,0,0,0,0,0,0,0,0
Cyclic AMP-13C-8,0,0,0,0,0,0,0,0,0,0
Cyclic AMP-13C-9,0,0,0,0,0,0,0,0,0,0
Cyclic AMP-13C-10,0,0,0,0,0,0,0,0,0,0
Orotidylic acid-13C-0,0,0,0,0,0,0,0,0,0,0
Orotidylic acid-13C-1,0,0,0,0,0,0,0,0,0,0
Orotidylic acid-13C-2,0,0,0,0,0,0,0,0,0,0
Orotidylic acid-13C-3,0,0,0,0,0,15871,0,0,0,27042
Orotidylic acid-13C-4,0,0,0,0,0,0,0,0,0,0
Orotidylic acid-13C-5,0,0,0,0,0,0,0,0,0,0
Orotidylic acid-13C-6,0,0,0,0,0,0,0,0,0,0
Orotidylic acid-13C-7,0,0,0,0,0,0,0,0,0,0
Orotidylic acid-13C-8,0,0,0,0,0,0,0,0,0,0
Orotidylic acid-13C-9,0,0,0,0,0,0,0,0,0,0
Orotidylic acid-13C-10,0,0,0,0,0,0,0,0,0,0
Inosinic acid-13C-0,0,0,0,0,0,0,0,0,0,0
Inosinic acid-13C-1,0,0,0,0,0,0,0,0,0,0
Inosinic acid-13C-2,0,0,0,0,0,0,0,0,0,0
Inosinic acid-13C-3,0,0,0,0,0,0,0,0,0,0
Inosinic acid-13C-4,0,0,0,0,16491,0,0,0,0,0
Inosinic acid-13C-5,0,0,0,0,0,0,0,0,0,0
Inosinic acid-13C-6,0,0,0,0,0,0,0,0,0,0
Inosinic acid-13C-7,0,0,0,0,0,0,0,0,0,0
Inosinic acid-13C-8,0,0,0,0,0,0,0,0,0,0
Inosinic acid-13C-9,0,0,0,0,0,0,0,0,0,0
Inosinic acid-13C-10,74825,35086,34521,62664,55330,77632,32242,36782,36386,29875
Xanthylic acid-13C-0,0,0,0,0,0,0,0,0,0,0
Xanthylic acid-13C-1,0,0,0,0,0,0,0,0,0,0
Xanthylic acid-13C-2,0,0,0,0,0,0,0,0,0,0
Xanthylic acid-13C-3,0,0,0,0,0,0,0,0,0,0
Xanthylic acid-13C-4,0,0,0,0,0,0,0,0,0,0
Xanthylic acid-13C-5,0,0,0,0,0,0,0,0,0,0
Xanthylic acid-13C-6,0,0,0,0,0,0,0,0,0,0
Xanthylic acid-13C-7,0,0,0,0,0,0,0,0,0,0
Xanthylic acid-13C-8,0,0,0,0,0,0,0,0,0,0
Xanthylic acid-13C-9,0,0,0,0,0,0,0,0,0,0
Xanthylic acid-13C-10,0,0,0,0,0,0,0,0,0,0
Adenosine-13C-0,0,0,0,0,0,0,110310,0,0,0
Adenosine-13C-1,0,11678,0,0,0,0,0,0,0,0
Adenosine-13C-2,0,0,0,0,0,0,0,0,0,0
Adenosine-13C-3,0,0,0,0,0,0,0,0,0,0
Adenosine-13C-4,0,22146,0,0,11544,10807,22612,0,0,0
Adenosine-13C-5,98532,1114076,129847,373535,164994,307006,847894,143242,252572,103942
Adenosine-13C-6,65029,891193,119365,322133,140794,263211,739374,157139,155576,75790
Adenosine-13C-7,33944,394625,63895,147995,92357,146922,553717,119128,80389,42444
Adenosine-13C-8,0,160133,31816,84211,40698,81661,380749,55526,30646,26388
Adenosine-13C-9,0,38531,12782,22927,14723,25561,94296,0,16373,0
Adenosine-13C-10,0,0,0,0,0,0,0,0,0,0
Guanosine-13C-0,0,0,20545,41248,36204,33808,0,23870,33252,25098
Guanosine-13C-1,0,0,0,0,0,0,0,0,0,0
Guanosine-13C-2,0,0,0,0,0,0,0,0,0,0
Guanosine-13C-3,0,0,0,0,0,0,0,0,0,0
Guanosine-13C-4,0,0,0,0,0,0,0,0,0,0
Guanosine-13C-5,56869,37169,52584,84032,70564,86534,39351,89201,86842,78771
Guanosine-13C-6,31139,0,36910,67953,46107,46890,36740,51239,51309,36485
Guanosine-13C-7,30427,0,26177,34689,21306,19495,19255,35596,27727,23919
Guanosine-13C-8,18487,0,0,38135,0,22344,0,22869,14438,0
Guanosine-13C-9,0,0,0,0,0,0,0,0,0,0
Guanosine-13C-10,0,0,0,0,0,0,0,0,0,0
Thymidine-13C-0,0,0,0,0,0,0,0,0,0,0
Thymidine-13C-1,29446,29392,36185,31792,24578,23854,23178,28955,20103,22504
Thymidine-13C-2,0,0,0,0,0,0,0,0,0,0
Thymidine-13C-3,0,0,0,0,0,0,0,0,0,0
Thymidine-13C-4,0,0,0,0,0,0,0,0,0,0
Thymidine-13C-5,0,0,0,0,0,0,0,0,0,0
Thymidine-13C-6,0,0,0,0,0,0,0,0,0,0
Thymidine-13C-7,0,0,0,0,0,0,0,0,0,0
Thymidine-13C-8,0,0,0,0,0,0,0,0,0,0
Thymidine-13C-9,0,0,0,0,0,0,0,0,0,0
Thymidine-13C-10,0,0,0,0,0,0,0,0,0,0
Adenosine monophosphate-13C-0,0,0,0,0,0,0,0,0,0,55823
Adenosine monophosphate-13C-1,0,0,0,0,0,0,0,0,0,0
Adenosine monophosphate-13C-2,0,0,0,0,0,0,0,0,0,0
Adenosine monophosphate-13C-3,0,0,0,0,0,0,0,0,0,0
Adenosine monophosphate-13C-4,0,0,0,0,0,0,0,0,0,0
Adenosine monophosphate-13C-5,0,0,0,0,0,0,52511,0,98219,173674
Adenosine monophosphate-13C-6,0,0,0,0,0,0,67859,78243,51299,121383
Adenosine monophosphate-13C-7,0,0,0,0,0,0,0,22635,35865,76458
Adenosine monophosphate-13C-8,0,10463,0,0,0,0,52984,0,39356,62734
Adenosine monophosphate-13C-9,0,0,0,0,0,0,0,11328,11908,10393
Adenosine monophosphate-13C-10,0,0,0,0,0,0,0,0,0,0
Guanosine monophosphate-13C-0,0,0,0,0,0,0,0,0,0,0
Guanosine monophosphate-13C-1,0,0,0,0,0,0,0,0,0,0
Guanosine monophosphate-13C-2,0,0,0,0,0,0,0,0,0,0
Guanosine monophosphate-13C-3,0,0,0,0,0,0,0,0,0,0
Guanosine monophosphate-13C-4,0,0,0,0,0,0,0,0,0,0
Guanosine monophosphate-13C-5,0,0,0,0,0,0,0,0,0,0
Guanosine monophosphate-13C-6,0,0,0,0,0,0,0,0,0,0
Guanosine monophosphate-13C-7,0,0,0,0,0,0,0,0,0,0
Guanosine monophosphate-13C-8,0,0,0,0,0,0,0,0,0,0
Guanosine monophosphate-13C-9,0,0,0,0,0,0,0,0,0,0
Guanosine monophosphate-13C-10,0,0,0,0,0,0,0,0,0,0
ADP-13C-0,0,0,0,0,0,0,0,0,0,0
ADP-13C-1,0,0,0,0,0,0,0,0,0,0
ADP-13C-2,0,0,0,0,0,0,0,0,0,0
ADP-13C-3,0,0,0,0,0,0,0,0,0,0
ADP-13C-4,0,0,0,0,0,0,0,0,0,0
ADP-13C-5,0,0,0,0,0,0,0,0,0,11321
ADP-13C-6,0,0,0,0,0,0,0,0,0,0
ADP-13C-7,0,0,0,0,0,0,0,0,0,0
ADP-13C-8,0,0,0,0,0,0,0,0,0,0
ADP-13C-9,0,0,0,0,0,0,0,0,0,0
ADP-13C-10,0,0,0,0,0,0,0,0,0,0
Guanosine diphosphate-13C-0,0,0,0,0,0,0,0,0,0,0
Guanosine diphosphate-13C-1,0,0,0,0,0,0,0,0,0,0
Guanosine diphosphate-13C-2,0,0,0,0,0,0,0,0,0,0
Guanosine diphosphate-13C-3,0,0,0,0,0,0,0,0,0,0
Guanosine diphosphate-13C-4,0,0,0,0,0,0,0,0,0,0
Guanosine diphosphate-13C-5,0,0,0,0,0,0,0,0,0,0
Guanosine diphosphate-13C-6,0,0,0,0,0,0,0,0,0,0
Guanosine diphosphate-13C-7,0,0,0,0,0,0,0,0,0,0
Guanosine diphosphate-13C-8,0,0,0,0,0,0,0,0,0,0
Guanosine diphosphate-13C-9,0,0,0,0,0,0,0,0,0,0
Guanosine diphosphate-13C-10,0,0,0,0,0,0,0,0,0,0
dTDP-13C-0,0,0,0,0,0,0,0,0,0,0
dTDP-13C-1,0,0,0,0,0,0,0,0,0,0
dTDP-13C-2,0,0,0,0,0,0,0,0,0,0
dTDP-13C-3,0,0,0,0,0,0,0,0,0,0
dTDP-13C-4,0,0,0,0,0,0,0,0,0,0
dTDP-13C-5,0,0,0,0,0,0,0,0,0,0
dTDP-13C-6,0,0,0,0,0,0,0,0,0,0
dTDP-13C-7,0,0,0,0,0,0,0,0,0,0
dTDP-13C-8,0,0,0,0,0,0,0,0,0,0
dTDP-13C-9,0,0,0,0,0,0,0,0,0,0
dTDP-13C-10,0,0,0,0,0,0,0,0,0,0
Adenosine triphosphate-13C-0,0,0,0,0,0,0,0,0,0,0
Adenosine triphosphate-13C-1,0,0,0,0,0,0,0,0,0,0
Adenosine triphosphate-13C-2,0,0,0,0,0,0,0,0,0,0
Adenosine triphosphate-13C-3,0,0,0,0,0,0,0,0,0,0
Adenosine triphosphate-13C-4,0,0,0,0,0,0,0,0,0,0
Adenosine triphosphate-13C-5,0,0,0,0,0,0,0,0,0,0
Adenosine triphosphate-13C-6,0,0,0,0,0,0,0,0,0,0
Adenosine triphosphate-13C-7,0,0,0,0,0,0,0,0,0,0
Adenosine triphosphate-13C-8,0,0,0,0,0,0,0,0,0,0
Adenosine triphosphate-13C-9,0,0,0,0,0,0,0,0,0,0
Adenosine triphosphate-13C-10,0,0,0,0,0,0,0,0,0,0
Guanosine triphosphate-13C-0,0,0,0,0,0,0,0,0,0,0
Guanosine triphosphate-13C-1,0,0,0,0,0,0,0,0,0,0
Guanosine triphosphate-13C-2,0,0,0,0,0,0,0,0,0,0
Guanosine triphosphate-13C-3,0,0,0,0,0,0,0,0,0,0
Guanosine triphosphate-13C-4,0,0,0,0,0,0,0,0,0,0
Guanosine triphosphate-13C-5,0,0,0,0,0,0,0,0,0,0
Guanosine triphosphate-13C-6,0,0,0,0,0,0,0,0,0,0
Guanosine triphosphate-13C-7,0,0,0,0,0,0,0,0,0,0
Guanosine triphosphate-13C-8,0,0,0,0,0,0,0,0,0,0
Guanosine triphosphate-13C-9,0,0,0,0,0,0,0,0,0,0
Guanosine triphosphate-13C-10,0,0,0,0,0,0,0,0,0,0
Glutathione-13C-0,63512,67810,60018,51800,53301,65422,59725,69709,70928,114809
Glutathione-13C-1,0,0,0,0,0,0,0,0,0,0
Glutathione-13C-2,0,0,0,0,0,0,0,0,0,0
Glutathione-13C-3,0,0,0,0,0,0,0,0,0,0
Glutathione-13C-4,0,0,0,0,0,0,0,0,0,0
Glutathione-13C-5,0,0,0,0,0,0,0,0,0,0
