,Metabolite,Formula,Ion Type,RT Start (min),RT End (min),m/z Tolerance (ppm),RT Tolerance (min),mz,obs_mz,ppm,winner,RT,RT_min,RT_max,RT_range,T1,T2,T3,T4,T5,T6,SQ437_B_0,SQ437_B_1,SQ437_B_2,SQ437_B_3,SQ437_B_4,SQ437_B_5,ttest_pval,1/pvalue,Tom plus Dox_Mean,Tom minus Dox_Mean,Log2FoldChange,LogFoldChange,blank_threshold,combined_mean,impact_score,Detection
96,N-Acetyl-L-alanine,C5H9NO3,[M+H]+,6.0,7.0,15,0.2,132.0655,132.0652,-2.4,S07377,6.5,6.3,6.74,0.44,2832395.0,3267759.0,3272030.0,3406511.0,3241805.0,3490239.0,18990,12468,15557,12736,14263,12436,0.1922999043248841,5.20021059558373,3124061.3333333335,3379518.3333333335,-0.11339486313966896,0.9244102340027746,53225.0,3251789.8333333335,18.0,6
97,N-Acetyl-L-methionine,C7H13NO3S,[M+H]+,3.0,5.0,15,0.2,192.0689,192.0683,-3.1,S07372,4.17,4.1,4.35,0.26,1006121.0,1109498.0,1271989.0,1160448.0,1003276.0,1158116.0,0,0,0,0,1074,0,0.8256466986684123,1.2111718021918836,1129202.6666666667,1107280.0,0.02828435560563656,1.0197986657996774,10537.0,1118241.3333333335,1.0,6
98,N-Acetyl-L-phenylalanine,C11H13NO3,[M+H]+,2.8,4.0,15,0.2,208.0968,208.0963,-2.5,S07372,3.55,3.47,3.57,0.1,108046.0,108046.0,109928.0,108046.0,108046.0,108046.0,25543,32400,45742,26830,25984,39593,0.3739009663000621,2.674504989638038,108673.33333333333,108046.0,0.008352307133256577,1.0058061689774107,108046.0,108359.66666666666,0.0,1
99,N-Acetylornithine,C7H14N2O3,[M+H]+,8.6,10.6,15,0.2,175.1077,175.1074,-1.8,S07372,10.06,9.83,10.18,0.34,25996.0,25996.0,25996.0,25996.0,25996.0,25996.0,7504,3934,7094,3537,6488,3435,NA,NA,25996.0,25996.0,0.0,1.0,25996.0,25996.0,0.0,0
100,N-Acetylserine,C5H9NO4,[M-H]-,7.5,8.5,15,0.2,146.0459,146.0447,-8.1,S07377,8.16,8.02,8.31,0.29,8708903.0,9445965.0,10088244.0,10132806.0,10447740.0,11096042.0,7705,6330,9764,4363,16653,4925,0.07937229996562115,12.598853761742246,9414370.666666666,10558862.666666666,-0.16551788348778262,0.8916084017634728,34870.0,9986616.666666666,141.0,6
101,NAD,C21H28N7O14P2,[Cat]+,9.9,11.9,15,0.2,664.1164,664.1161,-0.5,S07377,11.17,10.96,11.17,0.21,936752.0,1262711.0,1460620.0,1066309.0,1291548.0,1444292.0,56879,0,130929,2804,136260,3015,0.8136239693139506,1.2290690020393598,1220027.6666666667,1267383.0,-0.05493870495996641,0.9626353412241341,174943.5,1243705.3333333335,2.0,6
102,NADH,C21H29N7O14P2,[M-H]-,9.5,11.5,15,0.2,664.1175,664.1166,-1.4,S07377,10.69,10.57,10.75,0.18,150227.0,199524.0,209523.0,202926.0,182648.0,242450.0,5880,0,6190,1361,7893,0,0.4176382221816653,2.394416858629902,186424.66666666666,209341.33333333334,-0.1672644302435024,0.8905296612868298,20662.0,197883.0,1.0,6
103,NADP,C21H29N7O17P3,[Cat]+,12.7,14.7,15,0.2,744.0827,744.0787,-5.4,S07377,14.06,13.99,14.23,0.24,39059.5,39059.5,39059.5,39059.5,39059.5,39059.5,5949,2543,14678,2557,23165,9227,NA,NA,39059.5,39059.5,0.0,1.0,39059.5,39059.5,0.0,0
104,NADPH,C21H30N7O17P3,[M-H]-,13.0,15.0,15,0.2,744.0838,744.0817,-2.9,S07372,14.53,14.38,14.58,0.2,42060.0,37964.0,52728.0,47938.0,42403.0,51923.0,1550,1341,2267,0,2410,0,0.5745876426286508,1.7403785355096615,44250.666666666664,47421.333333333336,-0.09983703672216745,0.9331383905977618,13784.0,45836.0,0.0,6
105,Niacinamide,C6H6N2O,[M+H]+,3.3,5.3,15,0.2,123.0553,123.055,-2.4,S07377,4.71,4.63,4.72,0.09,49113424.0,55881084.0,66919368.0,58206400.0,59507060.0,70677856.0,920869,424387,2308319,1247729,2797572,1613132,0.4474015570124286,2.2351285647676464,57304625.333333336,62797105.333333336,-0.13204646826536603,0.9125360958782198,4666004.0,60050865.333333336,147.0,6
106,Nicotinic acid,C6H5NO2,[M-H]-,5.5,7.5,15,0.2,122.0248,122.0238,-7.8,SQ437_B_0,6.55,6.31,6.77,0.46,35814.0,35814.0,35814.0,35814.0,35814.0,35814.0,16348,8343,6983,6571,6773,6610,NA,NA,35814.0,35814.0,0.0,1.0,35814.0,35814.0,0.0,0
107,O-Phosphoethanolamine,C2H8NO4P,[M+H]+,11.4,13.4,15,0.2,142.0264,142.0264,0.2,S07376,11.89,11.89,12.08,0.18,10000.0,10000.0,26612.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,0.3739009663000589,2.6745049896380606,15537.333333333334,10000.0,0.635738915785364,1.5537333333333334,10000.0,12768.666666666668,0.0,1
108,Ornithine,C5H12N2O2,[M+H]+,17.0,19.0,15,0.2,133.0972,133.0969,-1.9,S07377,17.69,17.61,17.76,0.15,6604819.0,9301530.0,9214019.0,7476945.0,8384546.0,9838633.0,2088713,410728,2630924,425096,2802726,371080,0.8714549627031105,1.1475062313010003,8373456.0,8566708.0,-0.03291772116797015,0.9774415096207318,4374633.5,8470082.0,10.0,6
109,Orotic acid,C5H4N2O4,[M-H]-,6.7,8.7,15,0.2,155.0098,155.0087,-7.3,S07377,7.71,7.58,7.91,0.33,75311.0,89395.0,108352.0,95784.0,89650.0,111055.0,0,1702,1288,1281,0,0,0.5341356229724646,1.872183687047496,91019.33333333333,98829.66666666667,-0.11877115529310825,0.920971772983146,12135.5,94924.5,0.0,6
110,Orotidylic acid,C10H13N2O11P,[M+H]+,0.0,30.0,15,0.2,369.033,369.0314,-4.3,S07366,7.96,7.96,7.96,0.0,11090.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,0.37390096630005787,2.674504989638068,10363.333333333334,10000.0,0.051488115957820865,1.0363333333333333,10000.0,10181.666666666668,0.0,1
111,Oxidized glutathione,C20H32N6O12S2,[M+H]+,13.5,15.5,15,0.2,613.1592,613.1575,-2.8,S07369,14.77,14.74,14.83,0.09,3937685.0,8069208.0,11880018.0,14841559.0,11513949.0,13288829.0,59327,21297,171453,72172,399834,170109,0.10223387152724984,9.781493990799866,7962303.666666667,13214779.0,-0.7308944988278325,0.6025302176197322,457096.0,10588541.333333334,172.0,6
112,Oxoadipic acid,C6H8O5,[M-H]-,7.5,9.5,15,0.2,159.0299,159.0289,-6.3,SQ437_B_0,7.54,7.54,7.75,0.21,17371.5,17371.5,17371.5,17371.5,17371.5,17371.5,7155,2100,2445,1309,0,1734,NA,NA,17371.5,17371.5,0.0,1.0,17371.5,17371.5,0.0,0
113,Oxoglutaric acid,C5H6O5,[M-H]-,10.8,14.8,15,0.2,145.0142,145.013,-8.6,S07377,12.86,12.65,12.87,0.22,14569729.0,17435206.0,17603790.0,20030276.0,19767914.0,22893260.0,117273,12636,193222,11538,531539,14242,0.03600338429604201,27.775166683703507,16536241.666666666,20897150.0,-0.3376748196479531,0.7913156419256533,450225.0,18716695.833333332,657.0,6
114,Palmitic acid,C16H32O2,[M-H]-,1.6,3.6,15,0.2,255.233,255.2323,-2.6,S07376,2.85,2.82,2.91,0.09,6817709.0,9505565.0,9533514.0,6131006.0,5652634.0,11513757.0,690596,596810,576132,648189,641113,575955,0.7032067896316804,1.4220568042634676,8618929.333333334,7765799.0,0.1503742981145153,1.1098573802043208,1874397.5,8192364.166666667,13.0,6
115,Pantothenic acid,C9H17NO5,[M+H]+,5.1,7.1,15,0.2,220.118,220.1173,-3.0,S07371,6.21,5.97,6.42,0.45,29292520.0,31968604.0,34295060.0,36315540.0,36309940.0,38994168.0,11008,3132,7082,6076,11004,3115,0.03448320930751032,28.999620977337617,31852061.333333332,37206549.333333336,-0.22416985529565106,0.8560874873929005,30708.5,34529305.333333336,1170.0,6
116,Phenol,C6H6O,[M-H]-,2.1,4.1,15,0.2,93.0346,93.0333,-13.9,SQ437_B_0,3.42,3.39,3.65,0.26,2609088.5,2609088.5,2609088.5,2609088.5,2609088.5,2609088.5,1187998,1000370,763503,742166,767343,736797,NA,NA,2609088.5,2609088.5,0.0,1.0,2609088.5,2609088.5,0.0,0
117,Phosphocreatine,C4H10N3O5P,[M-H]-,11.2,13.2,15,0.2,210.0285,210.0277,-4.0,S07377,12.39,12.35,12.43,0.08,1891732.0,2524896.0,3403469.0,3161008.0,3813594.0,3899783.0,130181,16548,757102,75572,1074766,104537,0.10962236668843188,9.122225967280881,2606699.0,3624795.0,-0.4756754039059748,0.7191300473544021,1089353.0,3115747.0,40.0,6
118,Phosphoenolpyruvic acid,C3H5O6P,[M-H]-,13.6,15.6,15,0.2,166.9751,166.97400000000002,-6.6,S07371,14.81,14.81,15.05,0.24,83741.0,141528.0,341307.0,250002.0,397324.0,560698.0,5922,2575,43831,11299,59758,14789,0.14655974161924898,6.823156133816909,188858.66666666666,402674.6666666667,-1.0923077212268355,0.4690105494592822,79087.0,295766.6666666667,4.0,6
119,Phosphoribosyl pyrophosphate,C5H13O14P3,[M-H]-,15.0,18.0,15,0.2,388.9445,388.9388,-14.8,S07376,15.62,15.62,15.64,0.01,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
120,Phosphorylcholine,C5H14NO4P,[M+H]+,10.0,13.0,15,0.2,184.0733,184.0728,-2.8,S07377,11.9,11.84,11.96,0.12,1052292672.0,1197206272.0,1256155136.0,1156918528.0,1247692032.0,1284890496.0,193673248,6522238,216868608,10933922,257509584,13457748,0.439740767416747,2.2740670733679993,1168551360.0,1229833685.3333333,-0.07374208347315814,0.9501702335330624,349492674.0,1199192522.6666665,2870.0,6
121,Phosphoserine,C3H8NO6P,[M+H]+,11.5,13.5,15,0.2,186.0162,186.0162,0.0,S07372,13.45,13.4,13.46,0.05,14298.5,14298.5,14298.5,14298.5,14298.5,14298.5,2212,0,3613,0,1234,1538,NA,NA,14298.5,14298.5,0.0,1.0,14298.5,14298.5,0.0,0
122,Pipecolic acid,C6H11NO2,[M+H]+,7.5,9.5,15,0.2,130.0863,130.0862,-0.4,S07374,8.25,8.0,8.49,0.48,146858.0,146858.0,146858.0,146858.0,146858.0,146858.0,62140,49600,38110,43910,41408,38548,NA,NA,146858.0,146858.0,0.0,1.0,146858.0,146858.0,0.0,0
123,Propionylcarnitine,C10H19NO4,[M+H]+,5.2,7.2,15,0.2,218.1387,218.138,-3.1,S07377,6.7,6.52,6.93,0.42,173523.0,230126.0,252930.0,345168.0,244371.0,296154.0,13877,13731,8938,10107,10217,8000,0.11117739671871128,8.994634066941584,218859.66666666666,295231.0,-0.4318381091525522,0.7413166864816589,42435.0,257045.3333333333,3.0,6
124,Pyruvic acid,C3H4O3,[M-H]-,5.5,7.5,15,0.2,87.0088,87.0075,-14.6,S07377,6.12,5.89,6.12,0.24,3040576.0,3620506.0,3469472.0,224830.0,2764807.0,224830.0,99527,45448,100784,44454,85124,54323,0.05596084140771699,17.86963839078553,3376851.3333333335,1071489.0,1.6560616265014656,3.1515501636818795,224830.0,2224170.166666667,125.0,4
125,Ribose 1-phosphate,C5H11O8P,[M-H]-,11.0,12.4,15,0.2,229.0119,229.0112,-3.0,S07377,12.19,12.15,12.29,0.13,17041.5,17041.5,17041.5,17041.5,17041.5,17041.5,0,0,2978,0,9236,1869,NA,NA,17041.5,17041.5,0.0,1.0,17041.5,17041.5,0.0,0
126,Saccharopine,C11H20N2O6,[M-H]-,11.0,14.0,15,0.2,275.1249,275.1277,10.3,S07374,12.07,11.87,12.15,0.27,11399.0,11399.0,11399.0,11399.0,11399.0,11399.0,1489,0,0,0,0,1309,NA,NA,11399.0,11399.0,0.0,1.0,11399.0,11399.0,0.0,0
127,S-Adenosylhomocysteine,C14H20N6O5S,[M-H]-,8.6,10.6,15,0.2,383.1143,383.1129,-3.7,S07376,10.07,9.95,10.13,0.17,57739.0,42617.0,49556.0,48551.0,58645.0,55326.0,1783,0,4509,0,1992,0,0.4708771723958783,2.123696069002204,49970.666666666664,54174.0,-0.11651915237236893,0.9224105044240164,14142.0,52072.33333333333,0.0,6
128,S-Adenosylmethionine,C15H22N6O5S,[M+H]+,10.7,12.7,15,0.2,399.1445,399.1436,-2.3,S07367,12.43,12.36,12.55,0.19,11615140.0,14427278.0,12929715.0,11944248.0,10598215.0,11599370.0,746075,19414,1116119,22121,917881,23666,0.15057055149848977,6.641404909844074,12990711.0,11380611.0,0.19090237883752326,1.141477465489331,1432638.0,12185661.0,92.0,6
129,Sarcosine,C3H7NO2,[M+H]+,11.2,12.0,15,0.2,90.055,90.0552,2.7,S07372,11.22,11.2,11.24,0.04,228505376.0,263486160.0,280076960.0,221713072.0,217545776.0,218047424.0,8515756,113419,13660977,190919,5661834,167371,0.06623912133128802,15.096818615672825,257356165.33333334,219102090.66666666,0.23216309421828882,1.1745947496451092,14165138.0,238229128.0,4224.0,6
130,Succinic acid,C4H6O4,[M-H]-,11.3,13.3,15,0.2,117.0193,117.01799999999999,-11.4,S07376,12.48,12.42,12.49,0.08,2814051.0,3502688.0,3789070.0,4977397.0,4123929.0,4022294.0,292283,243417,280941,173409,348675,157831,0.07422289985619727,13.472930887063752,3368603.0,4374540.0,-0.3769809073651696,0.7700473649800893,758278.0,3871571.5,68.0,6
131,Taurine,C2H7NO3S,[M-H]-,10.2,12.2,15,0.2,124.0074,124.006,-11.2,S07372,11.47,11.3,11.52,0.22,26597956.0,31132536.0,35392836.0,35536868.0,32572986.0,35685884.0,91562,2173,75900,1418,166872,1708,0.2631008909077797,3.8008233136333733,31041109.333333332,34598579.333333336,-0.1565326831377837,0.8971787261631108,179816.5,32819844.333333336,139.0,6
132,Thymidine,C10H14N2O5,[M-H]-,3.5,5.5,15,0.2,241.083,241.0835,2.1,S07370,3.51,3.51,3.7,0.2,68129.0,12456.0,12456.0,12456.0,100691.0,12456.0,1755,1876,0,0,0,1281,0.7705541194889723,1.2977673789651465,31013.666666666668,41867.666666666664,-0.4329324150734489,0.7407545998105142,12456.0,36440.666666666664,0.0,2
133,Uracil,C4H4N2O2,[M+H]+,5.4,7.4,15,0.2,113.0346,113.0343,-2.3,S07369,6.77,6.56,7.0,0.44,16478.5,16478.5,16478.5,16478.5,16478.5,16478.5,2544,1506,2183,2311,2455,1958,NA,NA,16478.5,16478.5,0.0,1.0,16478.5,16478.5,0.0,0
134,Ureidopropionic acid,C4H8N2O3,[M-H]-,10.4,12.4,15,0.2,131.0462,131.0449,-10.0,S07374,11.65,11.54,11.82,0.28,296121.0,274579.0,386288.0,128487.0,170294.0,147051.0,38495,2523,64270,1916,21145,2315,0.00934253281842977,107.03735479818985,318996.0,148610.66666666666,1.1020006633063855,2.1465215596906457,75332.0,233803.3333333333,54.0,6
135,Ureidosuccinic acid,C5H8N2O5,[M-H]-,12.8,14.8,15,0.2,175.03599999999997,175.035,-6.0,S07372,13.95,13.87,14.03,0.16,658394.0,843057.0,1003156.0,744687.0,971326.0,1349616.0,14284,0,24546,1349,22020,0,0.4082724179605792,2.4493449863579935,834869.0,1021876.3333333334,-0.2915988670647669,0.8169961205351333,41099.5,928372.6666666667,3.0,6
136,Uric acid,C5H4N4O3,[M+H]+,8.8,10.8,15,0.2,169.0356,0.0,0.0,NA,0.0,0.0,0.0,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
137,Uridine,C9H12N2O6,[M-H]-,5.5,7.5,15,0.2,243.0623,243.0613,-4.0,S07366,6.88,6.66,7.1,0.44,45907.0,37312.0,24082.0,44416.0,41464.0,37595.0,2265,1591,2047,1322,1473,1250,0.46285586318659555,2.1604998003381892,35767.0,41158.333333333336,-0.2025554472508299,0.8690099210366471,14974.0,38462.66666666667,0.0,6
138,Uridine 5'-diphosphate,C9H14N2O12P2,[M+H]+,12.4,14.4,15,0.2,405.0095,405.0071,-5.9,S07376,13.6,13.55,13.83,0.28,51171.0,56700.0,73426.0,71937.0,63134.0,77526.0,2075,0,2180,0,5004,0,0.25676160835257694,3.8946632497597986,60432.333333333336,70865.66666666667,-0.2297661864664147,0.8527730871084728,14629.5,65649.0,0.0,6
139,Uridine 5'-monophosphate,C9H13N2O9P,[M-H]-,11.2,13.2,15,0.2,323.0286,323.0275,-3.4,S07370,12.34,12.28,12.39,0.1,166377.5,177845.0,173190.0,166377.5,296074.0,196401.0,66498,13085,78034,18575,106136,30427,0.29688977140374534,3.368253460777143,172470.83333333334,219617.5,-0.3486406113075671,0.7853237257200967,166377.5,196044.1666666667,1.0,4
140,Uridine diphosphate glucose,C15H24N2O17P2,[M-H]-,12.4,14.4,15,0.2,565.0478,565.047,-1.3,S07372,13.59,13.47,13.65,0.18,969502.0,1190931.0,1369651.0,1249152.0,1265356.0,1473294.0,25017,0,30719,0,42827,0,0.3259245864703032,3.0681944275201696,1176694.6666666667,1329267.3333333333,-0.17589126616028855,0.8852204798533128,59281.5,1252981.0,4.0,6
141,Uridine diphosphate-N-acetylglucosamine,C17H27N3O17P2,[M+H]+,11.2,13.2,15,0.2,608.0889,608.0865,-3.9,S07377,12.44,12.37,12.47,0.09,203585.0,230199.0,285910.0,258916.0,260141.0,245155.0,8492,0,11581,0,18553,0,0.5807518594418264,1.7219058083793695,239898.0,254737.33333333334,-0.08658928088642505,0.9417465310672954,29313.0,247317.6666666667,0.0,6
142,Uridine triphosphate,C9H15N2O15P3,[M-H]-,15.0,18.0,15,0.2,482.9613,482.9603,-2.0,S07377,15.53,15.51,15.78,0.26,70299.5,70299.5,113853.0,70299.5,100279.0,183880.0,5773,0,31041,5882,63333,14570,0.41803499591407883,2.3921442218333695,84817.33333333333,118152.83333333333,-0.47822319563749505,0.717861188263224,70299.5,101485.08333333333,0.0,3
143,Valerylcarnitine,C12H23NO4,[M+H]+,3.6,5.7,15,0.2,246.17,246.1702,0.9,S07376,5.16,4.91,5.4,0.5,19230.0,17791.0,21952.0,31585.0,25357.0,24600.0,3229,2902,2222,2089,3092,2048,0.04085915199080352,24.474320960578858,19657.666666666668,27180.666666666668,-0.4674887555970512,0.7232223884623875,17791.0,23419.166666666668,1.0,5
144,Xanthine,C5H4N4O2,[M-H]-,7.5,9.4,15,0.2,151.0261,151.0251,-6.9,S07367,8.55,8.32,8.8,0.47,15435.5,34175.0,15435.5,15435.5,15435.5,15435.5,1826,1922,1893,1485,1448,2297,0.373900966300059,2.67450498963806,21682.0,15435.5,0.49024562377241887,1.4046840076447151,15435.5,18558.75,0.0,1
145,Xanthosine,C10H12N4O6,[M-H]-,6.7,8.7,15,0.2,283.0684,283.0662,-7.8,S07373,7.63,7.63,7.63,0.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
146,Xanthylic acid,C10H13N4O9P,[M-H]-,11.0,13.0,15,0.2,363.0347,363.0346,-0.4,S07377,12.34,12.34,12.43,0.09,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0,0,0,0,0,0,NA,NA,10000.0,10000.0,0.0,1.0,10000.0,10000.0,0.0,0
