Skeleton_Metabolite	Metabolite	Formula	Ion Type	RT Start (min)	RT End (min)	m/z Tolerance (ppm)	RT Tolerance (min)	mz	obs_mz	ppm	winner	RT	RT_min	RT_max	RT_range	detections	S10228	S10229	S10230	S10231	S10232	S10233	S10234	S10235	SQ567_Blank_0	SQ567_Blank_1	SQ567_Blank_2	SQ567_Blank_3	SQ567_Blank_4	SQ567_Blank_5	SQ567_ISTD_0	SQ567_ISTD_1	SQ567_ISTD_2
L-Cysteine	75         L-Cysteine	C3H7NO2S	[M+H]+	13.0	17.0	15.0	0.2	122.027	122.0273	2.2	S10235	13.26	13.01	13.47	0.46	17	14036	11907	7156	10839	43953	27398	23559	49990	2339	1547	12275	2611	12515	2489	2343	5242	7298
L-Cystine	76         L-Cystine	C6H12N2O4S2	[M-H]-	11.7	13.7	15.0	0.2	239.0166	239.0155	-4.5	S10235	12.67	12.45	12.72	0.27	17	163068	130186	92632	103163	154773	136676	167628	218498	79024	21634	158243	65554	201135	47264	17563	95710	103188
L-Glutamic acid	77         L-Glutamic acid	C5H9NO4	[M+H]+	10.0	13.0	15.0	0.2	148.0604	148.0601	-2.3	S10228	11.5	11.33	11.61	0.27	17	240878544	193681200	230641072	205825984	34168508	42556112	50268896	51969196	3709638	123844	3522428	70392	1616106	78425	961356	168632	92178
L-Glutamine	78         L-Glutamine	C5H10N2O3	[M+H]+	10.1	12.1	15.0	0.2	147.0764	147.0761	-2.2	S10230	11.27	11.04	11.42	0.38	17	562710400	467413856	573554624	512134976	59641256	95418616	107622800	108998720	22057284	37951	8998240	131552	4154360	111612	25498	412543	155683
L-Histidine	79         L-Histidine	C6H9N3O2	[M+H]+	9.9	11.9	15.0	0.2	156.0768	156.0764	-2.3	S10228	10.8	10.56	10.86	0.3	17	117455392	99392072	117450080	106632160	16634672	27641110	31668638	31203492	19790684	250435	5305830	283705	2288426	193629	256511	579585	265142
L-Isoleucine	80         L-Isoleucine	C6H13NO2	[M+H]+	6.0	7.5	15.0	0.2	132.1019	132.1018	-0.8	S10230	7.44	7.32	7.45	0.13	17	201582288	159261392	210699152	161911056	29590378	30339730	31459448	35242372	4213472	163646	745950	82502	507437	96855	153913	78355	80582
L-Kynurenine	81         L-Kynurenine	C10H12N2O3	[M+H]+	6.0	8.0	15.0	0.2	209.0921	209.0917	-1.8	S10235	7.44	7.21	7.62	0.41	17	2277219	1650304	2492018	1802515	4697968	3990146	4193753	4719182	16498	2426	27663	2691	22177	1980	4192	3424	2366
L-Lactic acid	82         L-Lactic acid	C3H6O3	[M-H]-	6.2	8.2	15.0	0.2	89.0244	89.0231	-14.8	S10230	7.17	6.93	7.38	0.46	17	1133503232	943142464	1176138880	1009230272	34281528	36092692	37349224	40048740	860050	735700	1203930	840896	833675	683046	710636	747439	664702
L-Leucine	83         L-Leucine	C6H13NO2	[M+H]+	7.5	9.0	15.0	0.2	132.1019	132.1018	-0.8	S10230	7.48	7.45	7.73	0.28	17	205144528	159839664	206915968	172001136	28347634	31520728	32434184	33588448	4204922	178049	644664	85897	502541	80659	170095	82201	129941
L-Lysine	84         L-Lysine	C6H14N2O2	[M+H]+	18.0	20.0	15.0	0.2	147.1128	147.1125	-2.1	S10228	19.17	19.17	19.33	0.16	17	25753836	14632469	21553092	22536300	6598486	12078088	11720812	12746246	15438701	391922	3819403	648784	1394069	530327	4739724	1367219	825760
L-Malic acid	85         L-Malic acid	C4H6O5	[M-H]-	12.2	14.2	15.0	0.2	133.0142	133.013	-9.4	S10228	12.93	12.68	12.94	0.26	17	114020128	87612336	103835120	100563848	11160340	15399683	19893884	18255718	6033976	117630	3365680	359391	1527718	160352	57953	1407365	386942
L-Methionine	86         L-Methionine	C5H11NO2S	[M+H]+	6.8	8.8	15.0	0.2	150.0583	150.058	-2.2	S10230	8.1	7.86	8.13	0.27	17	60329688	48089616	60337672	54056068	4897543	5451610	5413209	6297262	357400	27625	68115	6509	33116	5105	31828	4850	4364
L-Phenylalanine	87         L-Phenylalanine	C9H11NO2	[M+H]+	5.6	7.6	15.0	0.2	166.0863	166.08599999999996	-1.5	S10230	6.95	6.7	7.16	0.46	17	211600800	176315120	221629232	192711312	23188768	22925712	24234962	26160704	285542	47671	254569	21213	156739	16957	51696	27007	32626
L-Proline	88         L-Proline	C5H9NO2	[M+H]+	7.9	9.9	15.0	0.2	116.0706	116.0707	0.8	S10230	9.23	8.98	9.24	0.26	17	611968576	523619776	614130432	532398784	53174788	70695608	74355704	81672480	18702126	404180	3074420	381930	1684989	352281	147070	230791	197441
L-Serine	89         L-Serine	C3H7NO3	[M+H]+	10.8	12.8	15.0	0.2	106.0499	106.0501	2.2	S10230	11.87	11.63	11.95	0.32	17	35917232	30778270	37788760	33573504	1414320	3524055	4374758	4400282	2651498	17594	383533	21870	75157	14947	27465	21403	9566
L-Threonine	90         L-Threonine	C4H9NO3	[M-H]-	9.5	11.5	15.0	0.2	118.051	118.0498	-9.9	S10228	10.79	10.56	10.88	0.33	17	4062626	3308030	3867300	3775303	96331	205893	183840	194681	34603	2804	23732	4913	11172	3205	2836	5501	1866
L-Tryptophan	91         L-Tryptophan	C11H12N2O2	[M+H]+	6.8	8.8	15.0	0.2	205.0972	205.0967	-2.2	S10230	8.14	7.91	8.37	0.46	17	35115000	26154722	35314664	29775320	23699374	20880444	22296776	23480826	392722	7316	387433	2388	230765	2186	2754	5138	4016
L-Tyrosine	92         L-Tyrosine	C9H11NO3	[M+H]+	8.2	10.2	15.0	0.2	182.0812	182.0809	-1.5	S10230	9.46	9.22	9.46	0.25	17	50511276	39092684	52164680	42700180	6233210	6944206	7141409	8059538	508376	9432	119947	8564	79864	6008	10380	8225	8532
L-Valine	93         L-Valine	C5H11NO2	[M+H]+	8.3	9.2	15.0	0.2	118.0863	118.0863	0.4	S10230	8.92	8.67	9.05	0.38	17	306109088	253423712	309408736	274086624	26518938	30387246	32501128	35426936	9632568	113029	1143420	98242	672887	93791	168055	82733	53381
N6-Acetyl-L-lysine	94         N6-Acetyl-L-lysine	C8H16N2O3	[M+H]+	1.9	3.9	15.0	0.2	189.1234	189.1217	-8.8	S10230	3.19	3.17	3.4	0.24	17	84110	59264	1177675	780570	954592	208252	47624	67826	78730	129994	111718	113504	49758	93892	29108	64719	43494
N-Acetylglutamic acid	95         N-Acetylglutamic acid	C7H11NO5	[M+H]+	10.3	12.3	15.0	0.2	190.071	190.0706	-2.1	S10228	11.19	11.02	11.39	0.37	17	118829	94247	107753	109343	33297	34260	42434	31785	15489	2310	2270	1652	1626	1477	2721	1626	1721
N-Acetylglutamine	96         N-Acetylglutamine	C7H12N2O4	[M-H]-	6.8	8.8	15.0	0.2	187.0724	187.0718	-3.4	S10229	7.04	6.85	7.28	0.42	14	0	46309	0	28471	1925	3091	4297	2406	3040	0	2437	1699	2232	1678	1909	1799	2099
N-Acetyl-L-alanine	97         N-Acetyl-L-alanine	C5H9NO3	[M+H]+	6.0	7.0	15.0	0.2	132.0655	132.0654	-0.9	S10231	6.86	6.61	6.92	0.31	17	3661468	3257826	3348944	3681845	379834	397410	394498	396458	21175	12504	15770	10483	11291	9853	20606	11798	12011
N-Acetyl-L-methionine	98         N-Acetyl-L-methionine	C7H13NO3S	[M+H]+	3.0	5.0	15.0	0.2	192.0689	192.06900000000002	0.6	S10230	4.2	3.96	4.2	0.25	9	188482	133564	204238	139189	31186	26872	25117	28363	0	0	0	0	0	1456	0	0	0
N-Acetyl-L-phenylalanine	99         N-Acetyl-L-phenylalanine	C11H13NO3	[M+H]+	2.8	4.0	15.0	0.2	208.0968	208.0965	-1.5	S10228	3.55	3.32	3.61	0.29	17	1282139	942616	1140809	903504	207123	267854	229468	297559	19282	27640	26440	34623	15767	33839	17511	28429	17547
N-Acetylornithine	100         N-Acetylornithine	C7H14N2O3	[M+H]+	8.6	10.6	15.0	0.2	175.1077	175.1075	-1.3	S10230	9.86	9.63	10.08	0.45	17	148294816	121706264	154341792	131237568	15233900	18962214	20979818	19460086	1780904	4492	414348	2450	197069	2265	2661	8884	2449
N-Acetylserine	101         N-Acetylserine	C5H9NO4	[M-H]-	7.5	8.5	15.0	0.2	146.0459	146.0448	-7.4	S10228	7.93	7.68	8.17	0.49	17	5694984	4354078	5485296	4722640	153963	156052	158147	184562	30799	2427	4741	2251	2467	1968	16314	2090	1342
NAD	102         NAD	C21H28N7O14P2	[Cat]+	9.9	11.9	15.0	0.2	664.1164	664.1215	7.7	S10229	11.61	11.48	11.61	0.14	4	0	17183	0	0	0	0	0	8551	0	0	0	1468	0	0	1310	0	0
NADH	103         NADH	C21H29N7O14P2	[M-H]-	9.5	11.5	15.0	0.2	664.1175	664.1233	8.7	S10233	10.25	10.03	10.25	0.22	3	0	0	0	0	6121	8843	0	0	0	0	0	0	1398	0	0	0	0
NADP	104         NADP	C21H29N7O17P3	[Cat]+	12.7	14.7	15.0	0.2	744.0827	744.0765	-8.4	S10228	14.06	13.83	14.24	0.41	12	13510	1545	6587	0	0	1970	5924	0	3572	0	4562	0	2628	1418	6470	2504	2475
NADPH	105         NADPH	C21H30N7O17P3	[M-H]-	13.0	15.0	15.0	0.2	744.0838	744.0778	-8.1	S10234	13.31	13.31	13.44	0.12	2	0	0	0	0	0	2277	2412	0	0	0	0	0	0	0	0	0	0
Niacinamide	106         Niacinamide	C6H6N2O	[M+H]+	3.3	5.3	15.0	0.2	123.0553	123.0552	-0.7	S10230	4.7	4.54	4.74	0.2	17	130635144	109983136	137625920	114246872	2910494	2701912	2898968	3038739	152538	128444	111468	110168	61335	84948	120436	124847	81219
Nicotinic acid	107         Nicotinic acid	C6H5NO2	[M-H]-	5.5	7.5	15.0	0.2	122.0248	122.0238	-7.8	S10230	7.36	7.13	7.46	0.33	17	82670	41354	99151	41103	19144	21350	31503	24852	57499	33640	20476	18469	17504	18143	55681	21151	15137
O-Phosphoethanolamine	108         O-Phosphoethanolamine	C2H8NO4P	[M+H]+	11.4	13.4	15.0	0.2	142.0264	142.0268	3.0	SQ567_Blank_0	13.41	13.41	13.41	0.0	1	0	0	0	0	0	0	0	0	3582	0	0	0	0	0	0	0	0
Ornithine	109         Ornithine	C5H12N2O2	[M+H]+	17.0	19.0	15.0	0.2	133.0972	133.097	-1.2	S10228	17.52	17.39	17.64	0.25	17	24243494	15355125	20550540	20376988	4714820	10853579	9842056	9877207	17538174	918305	5606915	1242942	2673236	916615	5667496	2388940	1538972
Orotic acid	110         Orotic acid	C5H4N2O4	[M-H]-	6.7	8.7	15.0	0.2	155.0098	155.0092	-4.1	S10228	7.52	7.33	7.77	0.44	10	47700	43290	44397	41892	2375	2131	0	2719	1824	1428	1279	0	0	0	0	0	0
Orotidylic acid	111         Orotidylic acid	C10H13N2O11P	[M+H]+	0.0	30.0	15.0	0.2	369.033	369.0307	-6.2	S10230	6.27	6.27	6.27	0.0	1	0	0	24359	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Oxidized glutathione	112         Oxidized glutathione	C20H32N6O12S2	[M+H]+	13.5	15.5	15.0	0.2	613.1592	613.1543	-8.1	S10232	13.96	13.85	14.03	0.18	4	0	1511	0	0	5006	0	0	0	0	0	2345	1093	0	0	0	0	0
Oxoadipic acid	113         Oxoadipic acid	C6H8O5	[M-H]-	7.5	9.5	15.0	0.2	159.0299	159.029	-5.7	SQ567_Blank_0	8.15	7.95	8.38	0.43	15	6221	0	6796	0	2062	1887	2766	1943	10769	2055	2068	2191	1680	4796	6738	2275	2007
Oxoglutaric acid	114         Oxoglutaric acid	C5H6O5	[M-H]-	10.8	14.8	15.0	0.2	145.0142	145.0132	-7.2	S10228	12.52	12.27	12.7	0.43	17	3599337	2448706	3435008	2718548	401668	337929	397283	605709	129384	9088	10505	5026	6639	2422	10174	5538	4428
Palmitic acid	115         Palmitic acid	C16H32O2	[M-H]-	1.6	3.6	15.0	0.2	255.233	255.2325	-1.8	S10235	2.83	2.83	2.9	0.07	17	44431656	40927460	53085688	46591184	61709932	46772312	46697152	64693796	7630286	9491051	7961940	7815324	3664500	7363538	9278942	9042121	6547816
Pantothenic acid	116         Pantothenic acid	C9H17NO5	[M+H]+	5.1	7.1	15.0	0.2	220.118	220.1175	-2.0	S10230	6.05	5.8	6.29	0.49	17	217017872	179061824	226230688	190448960	54919396	52222088	49545076	53638988	12954	6220	111972	10461	72133	5707	2529	1816	1557
Phenol	117         Phenol	C6H6O	[M-H]-	2.1	4.1	15.0	0.2	93.0346	93.0333	-13.9	SQ567_Blank_3	3.44	3.39	3.69	0.31	17	314194	248384	380860	284824	330777	228669	333309	421654	223335	228622	487018	500226	404368	470726	213812	470245	436591
Phosphocreatine	118         Phosphocreatine	C4H10N3O5P	[M-H]-	11.2	13.2	15.0	0.2	210.0285	210.0255	-14.4	SQ567_Blank_0	12.51	12.51	12.51	0.0	1	0	0	0	0	0	0	0	0	2553	0	0	0	0	0	0	0	0
Phosphoenolpyruvic acid	119         Phosphoenolpyruvic acid	C3H5O6P	[M-H]-	13.6	15.6	15.0	0.2	166.9751	166.9742	-5.4	SQ567_Blank_0	14.2	14.2	14.2	0.0	1	0	0	0	0	0	0	0	0	2243	0	0	0	0	0	0	0	0
Phosphoribosyl pyrophosphate	120         Phosphoribosyl pyrophosphate	C5H13O14P3	[M-H]-	15.0	18.0	15.0	0.2	388.9445	0.0	0.0		0.0	0.0	0.0	0.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Phosphorylcholine	121         Phosphorylcholine	C5H14NO4P	[M+H]+	10.0	13.0	15.0	0.2	184.0733	184.0732	-0.7	S10228	11.77	11.54	12.01	0.47	15	623409	303110	408497	323429	135108	114234	78272	142535	12678	0	9086	1764	5824	1631	2550	2334	0
Phosphoserine	122         Phosphoserine	C3H8NO6P	[M+H]+	11.5	13.5	15.0	0.2	186.0162	186.0152	-5.4	S10229	11.59	11.59	11.65	0.06	2	0	10387	0	0	0	0	0	0	3239	0	0	0	0	0	0	0	0
Pipecolic acid	123         Pipecolic acid	C6H11NO2	[M+H]+	7.5	9.5	15.0	0.2	130.0863	130.086	-2.0	S10228	7.72	7.53	7.76	0.23	17	30772066	23020156	28567666	27003710	1321740	1663556	1845967	1779897	200883	82973	83920	58138	67275	77957	85921	65270	53118
Propionylcarnitine	124         Propionylcarnitine	C10H19NO4	[M+H]+	5.2	7.2	15.0	0.2	218.1387	218.1381	-2.7	S10228	6.62	6.43	6.75	0.32	17	48614280	33452022	48595332	36821252	5013042	5021232	5259682	5529336	10540	6238	16887	2653	13093	6033	6192	5563	6032
Pyruvic acid	125         Pyruvic acid	C3H4O3	[M-H]-	5.5	7.5	15.0	0.2	87.0088	87.0077	-12.3	S10228	7.19	6.97	7.41	0.44	17	2084298	1406028	1865767	1558725	81742	102764	97147	98803	39372	27742	32096	25234	30817	25416	50506	28388	23686
Ribose 1-phosphate	126         Ribose 1-phosphate	C5H11O8P	[M-H]-	11.0	12.4	15.0	0.2	229.0119	229.0104	-6.5	S10228	11.9	11.86	11.99	0.14	11	22781	13156	19398	14133	13596	13635	14145	14935	2649	0	2285	0	1839	0	0	0	0
Saccharopine	127         Saccharopine	C11H20N2O6	[M-H]-	11.0	14.0	15.0	0.2	275.1249	275.1243	-2.0	S10228	12.43	12.29	12.44	0.14	6	3550	2191	2718	2315	0	1384	1180	0	0	0	0	0	0	0	0	0	0
S-Adenosylhomocysteine	128         S-Adenosylhomocysteine	C14H20N6O5S	[M-H]-	8.6	10.6	15.0	0.2	383.1143	383.119	12.2	S10230	9.33	9.24	9.54	0.3	3	22168	6950	49377	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S-Adenosylmethionine	129         S-Adenosylmethionine	C15H22N6O5S	[M+H]+	10.7	12.7	15.0	0.2	399.1445	399.1408	-9.3	S10228	12.27	12.14	12.34	0.2	11	10995	6063	8056	7138	1669	2086	2899	2148	3479	1809	0	1341	0	0	0	0	0
Sarcosine	130         Sarcosine	C3H7NO2	[M+H]+	11.2	12.0	15.0	0.2	90.055	90.0553	3.8	S10228	11.21	11.2	11.45	0.25	17	40761436	23826920	25335330	29763100	1209687	2936223	3819039	5849022	2940211	21957	149684	20816	61238	20096	38710	23139	18226
Succinic acid	131         Succinic acid	C4H6O4	[M-H]-	11.3	13.3	15.0	0.2	117.0193	117.0181	-10.5	S10228	12.15	11.92	12.18	0.26	17	144303488	104375776	136116240	113552992	12611625	13617641	16074086	16671117	548588	90399	711929	126602	319271	82404	30964	110084	91480
Taurine	132         Taurine	C2H7NO3S	[M-H]-	10.2	12.2	15.0	0.2	124.0074	124.0062	-9.6	S10230	11.22	10.99	11.3	0.31	14	22399134	20124404	22640108	21066412	171870	446093	473552	555757	14756	0	7074	1471	3138	1470	0	1942	0
Thymidine	133         Thymidine	C10H14N2O5	[M-H]-	3.5	5.5	15.0	0.2	241.083	241.0824	-2.5	S10230	4.65	4.41	4.86	0.45	17	445664	313842	467107	331035	29649	25423	29420	25030	4076	10788	3281	4744	6178	3070	3167	3083	3162
Uracil	134         Uracil	C4H4N2O2	[M+H]+	5.4	7.4	15.0	0.2	113.0346	113.0347	1.3	S10228	5.76	5.52	6.0	0.48	17	2111094	1725519	1984381	1739811	31861	21314	27881	27428	10346	11539	5835	5852	5900	6252	9283	4013	5862
Ureidopropionic acid	135         Ureidopropionic acid	C4H8N2O3	[M-H]-	10.4	12.4	15.0	0.2	131.0462	131.0453	-7.0	S10230	11.45	11.25	11.55	0.3	14	456123	413218	484623	409179	20754	45920	44346	47282	3945	0	6056	1026	2195	1267	0	0	1046
Ureidosuccinic acid	136         Ureidosuccinic acid	C5H8N2O5	[M-H]-	12.8	14.8	15.0	0.2	175.03599999999997	175.0346	-8.3	S10228	13.54	13.33	13.75	0.42	9	15347	5262	7576	9341	2357	7389	6428	5217	2174	0	0	0	0	0	0	0	0
Uric acid	137         Uric acid	C5H4N4O3	[M+H]+	8.8	10.8	15.0	0.2	169.0356	169.0355	-0.7	S10228	9.81	9.74	10.02	0.28	9	1188947	699533	1129506	699692	33081	31610	44218	49757	0	0	0	0	0	0	4539	0	0
Uridine	138         Uridine	C9H12N2O6	[M-H]-	5.5	7.5	15.0	0.2	243.0623	243.0616	-2.7	S10230	6.73	6.5	6.86	0.37	15	3645240	2733641	3964353	2834250	225850	256392	256456	251270	14009	2303	1658	1692	1340	1265	5815	0	0
Uridine 5'-diphosphate	139         Uridine 5'-diphosphate	C9H14N2O12P2	[M+H]+	12.4	14.4	15.0	0.2	405.0095	405.014	11.2	SQ567_Blank_2	13.71	13.71	13.71	0.0	1	0	0	0	0	0	0	0	0	0	0	1177	0	0	0	0	0	0
Uridine 5'-monophosphate	140         Uridine 5'-monophosphate	C9H13N2O9P	[M-H]-	11.2	13.2	15.0	0.2	323.0286	323.0275	-3.4	SQ567_Blank_0	12.28	12.28	12.28	0.0	1	0	0	0	0	0	0	0	0	9543	0	0	0	0	0	0	0	0
Uridine diphosphate glucose	141         Uridine diphosphate glucose	C15H24N2O17P2	[M-H]-	12.4	14.4	15.0	0.2	565.0478	565.0479	0.3	S10231	13.33	13.29	13.41	0.13	3	0	4411	2078	5160	0	0	0	0	0	0	0	0	0	0	0	0	0
Uridine diphosphate-N-acetylglucosamine	142         Uridine diphosphate-N-acetylglucosamine	C17H27N3O17P2	[M+H]+	11.2	13.2	15.0	0.2	608.0889	608.0875	-2.2	S10228	12.0	11.9	12.24	0.34	6	8545	0	0	3525	0	6165	0	0	0	0	1291	1712	0	0	0	0	2207
Uridine triphosphate	143         Uridine triphosphate	C9H15N2O15P3	[M-H]-	15.0	18.0	15.0	0.2	482.9613	482.9577	-7.4	SQ567_ISTD_0	15.78	15.68	15.78	0.1	2	0	0	0	0	0	0	1105	0	0	0	0	0	0	0	1206	0	0
Valerylcarnitine	144         Valerylcarnitine	C12H23NO4	[M+H]+	3.6	5.7	15.0	0.2	246.17	246.1695	-2.0	S10230	5.06	4.93	5.19	0.26	17	7049334	5331382	7304927	5415717	790998	728153	724193	775010	5170	3164	3270	3275	2681	2520	5900	2589	1716
Xanthine	145         Xanthine	C5H4N4O2	[M-H]-	7.5	9.4	15.0	0.2	151.0261	151.025	-7.6	S10228	8.4	8.15	8.53	0.37	17	24536696	19434136	23638088	20083986	1451866	1738448	1811804	1915237	57127	2019	17785	2112	10425	1823	2401	4511	1869
Xanthosine	146         Xanthosine	C10H12N4O6	[M-H]-	6.7	8.7	15.0	0.2	283.0684	283.0675	-3.2	S10228	7.73	7.67	7.76	0.1	8	167436	129599	149253	153204	27146	25053	20215	27205	0	0	0	0	0	0	0	0	0
Xanthylic acid	147         Xanthylic acid	C10H13N4O9P	[M-H]-	11.0	13.0	15.0	0.2	363.0347	363.0377	8.1	S10231	11.39	11.39	11.39	0.0	1	0	0	0	6380	0	0	0	0	0	0	0	0	0	0	0	0	0
