,CD_MDA_C1,CD_MDA_C2,CD_MDA_C3,CD_MDA_T1,CD_MDA_T2,CD_MDA_T3,CD_MDA_T4,CD_MDA_T5,CD_MDA_T6,CD_BT_C1,CD_BT_C2,CD_BT_C3,CD_BT_T1,CD_BT_T2,CD_BT_T3,CD_BT_T4,CD_BT_T5,CD_BT_T6,CD_4T1_C1,CD_4T1_C2,CD_4T1_C3,CD_4T1_T1,CD_4T1_T2,CD_4T1_T3,CD_4T1_T4,CD_4T1_T5,CD_4T1_T6
1-Methylnicotinamide-13C-0,0.0,0.0,2.72,6.32,6.72,6.35,6.66,6.99,6.35,3.16,7.19,6.95,7.2,6.99,6.66,7.2,7.43,7.5,0.0,0.0,100.0,0.0,0.0,3.07,2.7,0.0,0.0
"2,3-Diphosphoglyceric acid-13C-0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3-Hydroxybutyric acid-13C-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3-Phosphoglyceric acid-13C-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"4,5-Dihydroorotic acid-13C-0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4-Hydroxyproline-13C-0,5.98,5.4,5.72,5.48,5.32,4.94,5.52,5.72,5.58,4.98,5.21,5.48,5.36,4.84,5.64,5.21,5.48,5.44,5.54,5.66,5.54,5.24,4.93,5.18,5.65,5.51,5.89
5'-Methylthioadenosine-13C-0,0.0,10.64,0.0,14.13,0.0,12.53,0.0,13.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.36,5.35,6.38,9.86,9.81,0.0,4.52,11.19,5.72
5-Phosphoribosylamine-13C-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6-Phosphogluconic acid-13C-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acetoacetic acid-13C-0,1.62,1.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Acetyl-CoA-13C-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0
Acetylcysteine-13C-0,100.0,100.0,0.0,69.02,0.0,0.0,72.05,81.1,71.15,0.0,67.72,66.59,0.0,59.28,100.0,0.0,0.0,0.0,100.0,0.0,66.99,0.0,100.0,0.0,73.95,88.96,0.0
Adenine-13C-0,0.0,0.0,0.0,1.85,2.2,1.73,1.89,2.05,2.55,0.0,2.97,2.19,1.98,2.31,0.0,2.4,2.35,1.79,2.66,3.78,3.48,3.17,2.98,2.97,2.91,3.56,3.78
Adenosine-13C-0,7.45,5.24,4.51,3.67,3.48,3.9,4.03,4.22,4.98,3.78,7.99,5.38,6.34,6.26,0.0,5.61,8.09,8.47,4.72,6.79,5.47,6.85,5.83,6.23,5.19,6.31,6.85
Adenosine diphosphate ribose-13C-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adenosine monophosphate-13C-0,0.0,0.0,0.0,10.11,7.18,8.92,18.79,11.26,9.27,11.03,4.45,8.52,7.76,8.56,9.38,6.83,7.18,7.5,9.28,8.59,5.88,14.81,10.04,9.08,7.45,10.53,11.24
Adenosine triphosphate-13C-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adenylsuccinic acid-13C-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ADP-13C-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allantoin-13C-0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Aminoadipic acid-13C-0,0.0,0.0,0.0,0.0,4.39,0.0,0.0,0.0,4.71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Argininosuccinic acid-13C-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Beta-Alanine-13C-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Betaine-13C-0,2.53,1.28,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,1.55,0.0,0.0,0.0,4.67,4.47,4.12,4.07,4.15,4.86,3.5,3.77,3.49
Butyrylcarnitine-13C-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carbamoyl phosphate-13C-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Carnosine-13C-0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CDP-13C-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Choline-13C-0,5.72,4.43,0.0,0.0,0.0,0.0,5.18,0.0,5.99,0.0,0.0,4.22,0.0,0.0,1.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cis-Aconitic acid-13C-0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Citric acid-13C-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Citrulline-13C-0,0.0,0.0,2.42,0.0,0.0,0.0,0.0,2.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.87,0.0,0.0,0.0,0.0,0.0,0.0
Creatine-13C-0,0.0,2.14,0.36,2.34,2.51,2.69,2.27,1.82,1.43,2.57,4.52,4.21,4.33,4.48,4.13,3.98,4.2,4.31,2.61,2.92,3.02,2.81,2.21,2.9,2.76,3.15,3.19
Creatinine-13C-0,0.0,1.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.97,1.27,1.22,0.0,0.0,1.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cyclic AMP-13C-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cytidine-13C-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.22,2.98,3.39,0.0,4.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cytidine monophosphate-13C-0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0
Cytidine triphosphate-13C-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cytosine-13C-0,100.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
D-2-Hydroxyglutaric acid-13C-0,0.0,0.0,0.0,1.3,2.13,2.44,1.76,2.27,2.77,0.0,2.13,2.35,0.0,0.0,0.0,0.0,0.0,0.0,2.14,2.11,1.61,0.0,2.04,2.24,2.27,1.32,2.0
D-Glucose-13C-0,100.0,93.52,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,98.93,100.0,100.0,98.36,100.0,99.56,100.0,100.0,100.0,100.0,100.0,99.08,99.18,100.0,100.0,100.0
D-Glyceraldehyde 3-phosphate-13C-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dihydrofolic acid-13C-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dihydroxyacetone phosphate-13C-0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
D-Ribose 5-phosphate-13C-0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D-Sedoheptulose 7-phosphate-13C-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0
dTDP-13C-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FAD-13C-0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
Folic acid-13C-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Fructose 1,6-bisphosphate-13C-0",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Fructose 6-phosphate-13C-0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Fumaric acid-13C-0,0.0,0.0,0.0,0.0,6.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.59,3.77,2.3,3.42,0.0,3.25,5.38,4.3,5.54
Glucose 6-phosphate-13C-0,0.0,0.0,0.0,100.0,100.0,0.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Glutathione-13C-0,0.0,6.93,1.21,1.17,0.0,2.34,1.45,1.04,0.0,1.26,0.0,0.0,2.16,1.64,1.66,1.33,0.0,0.0,0.69,1.31,0.0,0.0,0.0,1.11,2.04,2.71,1.55
Glycerol 3-phosphate-13C-0,0.0,0.0,0.0,100.0,57.29,100.0,100.0,32.11,35.17,0.0,0.0,32.66,0.0,33.39,0.0,29.34,0.0,0.0,62.61,100.0,100.0,100.0,100.0,100.0,40.53,53.39,27.09
Glycine-13C-0,1.12,1.11,0.82,1.4,0.0,1.37,1.21,0.0,0.77,1.3,1.14,1.04,1.04,1.17,1.05,0.98,1.12,1.43,2.27,1.96,2.41,1.13,2.35,2.36,1.21,2.04,2.35
Guanidoacetic acid-13C-0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,0.0,100.0,0.0,0.0
Guanine-13C-0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
Guanosine-13C-0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Guanosine diphosphate-13C-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guanosine monophosphate-13C-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Guanosine triphosphate-13C-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Homocysteine-13C-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hypotaurine-13C-0,0.0,0.0,0.0,0.0,4.35,0.0,0.0,3.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Hypoxanthine-13C-0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inosine-13C-0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.93,0.0,26.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Inosinic acid-13C-0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
L-Acetylcarnitine-13C-0,0.0,7.34,0.0,70.29,58.59,66.33,64.27,59.46,58.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L-Alanine-13C-0,0.0,1.08,0.0,36.68,30.38,38.3,45.79,38.7,42.07,0.0,7.09,12.14,10.42,7.72,4.7,12.04,13.17,12.06,56.21,60.31,51.43,55.45,59.13,54.57,53.68,59.59,56.85
L-Arginine-13C-0,5.92,5.98,5.66,100.0,5.59,0.0,5.49,0.0,5.52,0.0,0.0,0.0,4.75,0.0,5.48,0.0,100.0,0.0,5.66,100.0,0.0,0.0,0.0,0.0,5.86,100.0,100.0
L-Asparagine-13C-0,1.91,1.67,1.33,1.4,1.61,1.1,1.45,1.71,1.87,2.23,1.47,1.7,1.07,1.28,1.88,1.6,1.9,1.66,1.94,2.4,1.22,1.74,1.77,1.54,1.63,1.4,1.49
L-Aspartic acid-13C-0,3.73,3.03,3.3,7.59,6.76,7.8,7.06,7.91,6.78,2.74,4.11,4.67,4.57,5.05,3.5,5.12,4.38,5.32,8.46,9.52,9.6,8.88,8.58,9.67,7.85,8.43,9.38
