Skeleton_Metabolite	Metabolite	Formula	Ion Type	RT Start (min)	RT End (min)	m/z Tolerance (ppm)	RT Tolerance (min)	mz	obs_mz	ppm	winner	RT	RT_min	RT_max	RT_range	detections	S10228	S10229	S10230	S10231	S10232	S10233	S10234	S10235	SQ567_Blank_0	SQ567_Blank_1	SQ567_Blank_2	SQ567_Blank_3	SQ567_Blank_4	SQ567_Blank_5
1-Methylnicotinamide	1         1-Methylnicotinamide	C7H8N2O	[M+H]+	19.0	21.0	15.0	0.2	137.0709	137.071	0.4	SQ567_Blank_0	20.66	20.42	20.9	0.48	17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
2,3-Diphosphoglyceric acid	2         2,3-Diphosphoglyceric acid	C3H8O10P2	[M-H]-	12.0	15.0	15.0	0.2	264.952	0.0	0.0		0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3-Hydroxybutyric acid	3         3-Hydroxybutyric acid	C4H8O3	[M-H]-	5.7	7.7	15.0	0.2	103.0401	103.0387	-13.3	S10230	6.73	6.51	6.97	0.46	17	0.0006112023590124548	0.0005672873153484277	0.000683488557833611	0.0005634370178177702	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
3-Phosphoglyceric acid	4         3-Phosphoglyceric acid	C3H7O7P	[M-H]-	13.0	15.0	15.0	0.2	184.9857	184.9854	-1.4	S10235	13.09	13.04	13.09	0.05	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4,5-Dihydroorotic acid	5         4,5-Dihydroorotic acid	C5H6N2O4	[M-H]-	7.5	9.5	15.0	0.2	157.0255	157.0241	-8.8	S10230	7.69	7.59	7.85	0.26	8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
4-Hydroxyproline	6         4-Hydroxyproline	C5H9NO3	[M+H]+	10.2	11.2	15.0	0.2	132.0655	132.0673	13.5	S10230	10.67	10.43	10.77	0.34	17	0.009479411349005665	0.011200439403753242	0.010283238802630022	0.010676224666706566	0.01756753067934498	0.019571410773795175	0.020386074437575744	0.01914916536774195	0.0	0.0	0.0	0.0	0.0	0.0
5'-Methylthioadenosine	7         5'-Methylthioadenosine	C11H15N5O3S	[M+H]+	3.0	5.0	15.0	0.2	298.0968	298.0967	-0.5	S10231	4.43	4.19	4.43	0.24	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
5-Phosphoribosylamine	8         5-Phosphoribosylamine	C5H12NO7P	[M-H]-	11.5	13.5	15.0	0.2	228.0279	228.0252	-11.7	S10228	13.15	13.15	13.15	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
6-Phosphogluconic acid	9         6-Phosphogluconic acid	C6H13O10P	[M-H]-	14.0	17.0	15.0	0.2	275.0174	275.0166	-2.8	SQ567_Blank_0	16.8	16.8	16.8	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acetoacetic acid	10         Acetoacetic acid	C4H6O3	[M-H]-	8.3	10.3	15.0	0.2	101.0244	101.0232	-12.1	S10230	9.87	9.66	10.08	0.42	17	0.00033602814728487173	0.0002863832908351009	0.0003490178795374226	0.0003025329276518531	0.00019447251286922225	0.0001855232896087701	0.00020530370732016158	0.00022299285410432972	0.0	0.0	0.0	0.0	0.0	0.0
Acetyl-CoA	11         Acetyl-CoA	C23H38N7O17P3S	[M+H]+	8.0	11.0	15.0	0.2	810.1331	810.1271	-7.4	S10229	10.78	10.54	10.92	0.38	9	4.397775057700756e-06	7.289666479760293e-06	0.0	0.0	3.4980904132890525e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Acetylcysteine	12         Acetylcysteine	C5H9NO3S	[M+H]+	6.0	8.0	15.0	0.2	164.0376	164.0372	-2.4	S10231	7.1	6.86	7.23	0.37	10	1.457653076650346e-05	1.5607701773541894e-05	1.5791605724265015e-05	1.790287295732451e-05	2.9959206211168586e-05	2.09049254491268e-05	1.8376879141907834e-05	2.092077373057807e-05	0.0	0.0	0.0	0.0	0.0	0.0
Adenine	13         Adenine	C5H5N5	[M+H]+	5.0	7.0	15.0	0.2	136.0618	136.0616	-1.3	SQ567_Blank_0	6.95	6.71	6.95	0.24	17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Adenosine	14         Adenosine	C10H13N5O4	[M+H]+	4.5	7.0	15.0	0.2	268.10400000000004	268.1019	-7.9	SQ567_Blank_0	5.67	5.49	5.89	0.4	14	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Adenosine diphosphate ribose	15         Adenosine diphosphate ribose	C15H23N5O14P2	[M-H]-	10.9	12.9	15.0	0.2	558.0644	558.0622	-4.0	S10229	12.49	12.49	12.49	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Adenosine monophosphate	16         Adenosine monophosphate	C10H14N5O7P	[M+H]+	9.8	11.8	15.0	0.2	348.0704	348.0655	-14.0	S10229	9.79	9.78	9.79	0.02	2	0.0	1.681583685839469e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Adenosine triphosphate	17         Adenosine triphosphate	C10H16N5O13P3	[M-H]-	12.5	14.5	15.0	0.2	505.9885	505.996	14.9	S10235	13.31	13.18	13.35	0.18	4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Adenylsuccinic acid	18         Adenylsuccinic acid	C14H18N5O11P	[M-H]-	14.5	16.5	15.0	0.2	462.0668	0.0	0.0		0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
ADP	19         ADP	C10H15N5O10P2	[M-H]-	11.1	13.1	15.0	0.2	426.0221	426.0223	0.4	SQ567_ISTD_0	11.61	11.61	11.61	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Allantoin	20         Allantoin	C4H6N4O3	[M-H]-	9.3	11.3	15.0	0.2	157.0367	157.0357	-6.5	S10230	10.16	9.92	10.24	0.32	16	0.002104600385554343	0.002283994158162414	0.0021930624184305237	0.0021520737678949946	0.0024724659969187087	0.002014700132275766	0.0018147377644485477	0.001993173608890255	0.0	0.0	0.0	0.0	0.0	0.0
Aminoadipic acid	21         Aminoadipic acid	C6H11NO4	[M-H]-	5.9	7.9	15.0	0.2	160.0615	160.0607	-5.2	S10228	6.86	6.66	7.01	0.35	17	7.829419049865927e-05	6.192118894269944e-05	7.761600205733105e-05	6.640638277677783e-05	7.606443603399306e-05	5.372717425250861e-05	5.0416012727624544e-05	5.129935148874527e-05	0.0	0.0	0.0	0.0	0.0	0.0
Argininosuccinic acid	22         Argininosuccinic acid	C10H18N4O6	[M-H]-	12.5	14.5	15.0	0.2	289.1154	289.1138	-5.4	S10230	13.41	13.23	13.61	0.38	11	1.6068832549029488e-06	0.0	1.942669336648648e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Beta-Alanine	23         Beta-Alanine	C3H7NO2	[M+H]+	9.8	10.5	15.0	0.2	90.055	90.0554	4.9	S10230	10.31	10.07	10.48	0.41	17	0.00042076612349426005	0.00042945561278544833	0.00042282923981191203	0.0004164699207067811	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Betaine	24         Betaine	C5H11NO2	[M+H]+	7.0	8.2	15.0	0.2	118.0863	118.0862	-0.5	S10228	7.94	7.69	7.97	0.28	17	0.1426615198654812	0.1485876241995462	0.1384042527348314	0.14920990292923267	0.08034864702417735	0.07142427816571709	0.06898424638205458	0.07147854440631961	0.0	0.0	0.0	0.0	0.0	0.0
Butyrylcarnitine	25         Butyrylcarnitine	C11H21NO4	[M+H]+	4.2	6.2	15.0	0.2	232.1543	232.1538	-2.3	S10228	5.82	5.61	6.06	0.45	17	0.003071921757555632	0.0025392581771460625	0.002972709834209841	0.002645160464160605	0.0038883704986428813	0.002885795651802516	0.002736083773717652	0.002752123255951543	0.0	0.0	0.0	0.0	0.0	0.0
Carbamoyl phosphate	26         Carbamoyl phosphate	CH4NO5P	[M-H]-	27.0	30.0	15.0	0.2	139.9754	139.9743	-8.1	S10231	27.6	27.6	27.85	0.25	17	0.00032856277835810124	0.00032327022409522254	0.0003152419492115313	0.0003985824887971421	0.0013889292708638779	0.0016705171401844804	0.0012832675176239782	0.001441882541818175	0.0	0.0	0.0	0.0	0.0	0.0
Carnosine	27         Carnosine	C9H14N4O3	[M+H]+	10.6	12.6	15.0	0.2	227.1139	227.1134	-2.1	S10228	11.85	11.61	11.85	0.25	14	0.006409831807398672	0.005194065691124607	0.005993929682298661	0.006072909556900361	0.004899346734601636	0.005684239859019057	0.006183380109971795	0.006254259507346873	0.0	0.0	0.0	0.0	0.0	0.0
CDP	28         CDP	C9H15N3O11P2	[M+H]+	13.0	15.0	15.0	0.2	404.0255	404.0206	-12.0	S10230	13.08	13.08	13.16	0.09	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Choline	29         Choline	C5H14NO	[Cat]+	11.0	15.0	15.0	0.2	104.10700000000001	104.1072	2.0	S10228	14.99	14.75	15.0	0.24	17	0.0011895391355234348	0.000625462852935453	0.0009326216196293096	0.0008686599803432488	0.0	0.0010365894008893383	0.0	0.0013951226184868127	0.0	0.0	0.0	0.0	0.0	0.0
cis-Aconitic acid	30         cis-Aconitic acid	C6H6O6	[M-H]-	14.1	16.1	15.0	0.2	173.0092	173.0082	-5.6	S10228	14.82	14.6	14.9	0.3	17	0.0008396955913129464	0.0007021687361724665	0.0007373856180627063	0.0006838778709875323	0.0025939189465609518	0.002673070694972336	0.002526172092096511	0.002444665578309769	0.0	0.0	0.0	0.0	0.0	0.0
Citric acid	31         Citric acid	C6H8O7	[M-H]-	14.2	16.2	15.0	0.2	191.0197	191.0189	-4.3	S10228	15.02	14.78	15.11	0.34	17	0.004556227825527867	0.0030874345114028858	0.003252661753761327	0.003680942536791947	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Citrulline	32         Citrulline	C6H13N3O3	[M+H]+	10.9	12.9	15.0	0.2	176.10299999999995	176.1028	-1.0	S10230	12.04	11.8	12.11	0.3	17	0.012242277823875365	0.011798223778553144	0.01257208550842109	0.011909540202116868	0.013383825084995605	0.015142433828517746	0.016645164479458883	0.01759520645792746	0.0	0.0	0.0	0.0	0.0	0.0
Creatine	33         Creatine	C4H9N3O2	[M+H]+	10.0	11.5	15.0	0.2	132.0768	132.0765	-1.9	S10230	10.85	10.61	10.91	0.3	17	0.13066491446999662	0.13705002113838655	0.13619139207480466	0.13508172941487545	0.14325608460182845	0.19485039026528425	0.2017144711553844	0.1928752402377556	0.0	0.0	0.0	0.0	0.0	0.0
Creatinine	34         Creatinine	C4H7N3O	[M+H]+	5.2	7.2	15.0	0.2	114.0662	114.0662	0.1	S10230	6.63	6.4	6.63	0.23	17	0.08723390117163661	0.097829219875421	0.0869107823316311	0.08770284741276788	0.05642198029362301	0.046403536239889916	0.04727539214758519	0.04546741768796491	0.0	0.0	0.0	0.0	0.0	0.0
Cyclic AMP	35         Cyclic AMP	C10H12N5O6P	[M-H]-	5.8	7.8	15.0	0.2	328.0452	328.0458	1.7	S10230	6.73	6.66	6.76	0.1	5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cytidine	36         Cytidine	C9H13N3O5	[M+H]+	7.1	9.1	15.0	0.2	244.0928	244.0921	-2.9	S10230	8.39	8.14	8.45	0.31	17	0.001277938131986313	0.0012016562892256898	0.0013393682008873355	0.0012035215797526252	0.001375029426499858	0.0011607483971395312	0.0011267868385284208	0.0012139069622320276	0.0	0.0	0.0	0.0	0.0	0.0
Cytidine monophosphate	37         Cytidine monophosphate	C9H14N3O8P	[M+H]+	11.8	13.8	15.0	0.2	324.0591	324.0567	-7.5	SQ567_Blank_0	12.03	12.03	12.03	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cytidine triphosphate	38         Cytidine triphosphate	C9H16N3O14P3	[M-H]-	15.0	20.0	15.0	0.2	481.9772	481.9842	14.4	S10229	15.63	15.47	15.82	0.35	5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Cytosine	39         Cytosine	C4H5N3O	[M+H]+	9.0	11.0	15.0	0.2	112.0505	112.0507	1.4	SQ567_Blank_0	10.09	9.84	10.33	0.49	17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D-2-Hydroxyglutaric acid	40         D-2-Hydroxyglutaric acid	C5H8O5	[M-H]-	11.6	13.6	15.0	0.2	147.0299	147.0287	-8.2	S10228	12.15	11.92	12.18	0.26	17	0.0017931208108296296	0.0014781311660274005	0.0016720916554991648	0.0015048527170386605	0.0023194974426189413	0.0018498667932730073	0.001991613215914068	0.001957917966123657	0.0	0.0	0.0	0.0	0.0	0.0
D-Glucose	41         D-Glucose	C6H12O6	[M-H]-	9.0	11.0	15.0	0.2	179.0561	179.0552	-5.1	S10230	9.84	9.63	10.01	0.37	17	0.00248224466581756	0.002210472397013965	0.0026091889805659038	0.0021698550426017954	0.002258173704285675	0.0020477199006999603	0.0021345103587160712	0.002110118303058859	0.0	0.0	0.0	0.0	0.0	0.0
D-Glyceraldehyde 3-phosphate	42         D-Glyceraldehyde 3-phosphate	C3H7O6P	[M-H]-	13.0	14.0	15.0	0.2	168.9908	168.9899	-5.0	S10235	13.15	13.01	13.17	0.16	6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0135461048633518e-05	0.0	0.0	0.0	0.0	0.0	0.0
Dihydrofolic acid	43         Dihydrofolic acid	C19H21N7O6	[M+H]+	13.0	16.0	15.0	0.2	444.1626	444.1676	11.2	S10230	13.47	13.47	13.47	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Dihydroxyacetone phosphate	44         Dihydroxyacetone phosphate	C3H7O6P	[M-H]-	12.0	13.0	15.0	0.2	168.9908	168.9895	-7.4	S10234	12.9	12.87	12.99	0.12	7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D-Ribose 5-phosphate	45         D-Ribose 5-phosphate	C5H11O8P	[M-H]-	12.4	13.8	15.0	0.2	229.0119	229.0109	-4.3	S10235	12.58	12.41	12.58	0.17	9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
D-Sedoheptulose 7-phosphate	46         D-Sedoheptulose 7-phosphate	C7H15O10P	[M-H]-	12.2	14.2	15.0	0.2	289.033	289.032	-3.5	S10228	13.15	13.0	13.33	0.33	6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
dTDP	47         dTDP	C10H16N2O11P2	[M-H]-	11.0	13.0	15.0	0.2	401.0157	401.0105	-12.9	SQ567_Blank_3	12.18	12.18	12.18	0.0	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FAD	48         FAD	C27H33N9O15P2	[M+H]+	7.6	9.6	15.0	0.2	786.1644	786.1597	-6.0	S10235	8.0	8.0	8.03	0.03	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Folic acid	49         Folic acid	C19H19N7O6	[M+H]+	13.0	16.0	15.0	0.2	442.147	0.0	0.0		0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fructose 1,6-bisphosphate	50         Fructose 1,6-bisphosphate	C6H14O12P2	[M-H]-	14.1	16.1	15.0	0.2	338.9888	338.9904	4.8	SQ567_Blank_4	15.96	15.96	15.96	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fructose 6-phosphate	51         Fructose 6-phosphate	C6H13O9P	[M-H]-	12.6	13.5	15.0	0.2	259.0224	259.02099999999996	-5.6	S10228	12.88	12.76	12.93	0.17	12	2.734515280484694e-06	1.7588495362035381e-06	2.390582414009012e-06	1.932742314342923e-06	0.0	0.0	1.9262246724351557e-05	1.4978365152134845e-05	0.0	0.0	0.0	0.0	0.0	0.0
Fumaric acid	52         Fumaric acid	C4H4O4	[M-H]-	12.2	14.2	15.0	0.2	115.0037	115.0024	-11.2	S10228	12.93	12.68	12.96	0.28	17	0.0007514040657700812	0.0006642733814251671	0.0007057966641388253	0.0006938308751291198	0.0002791422278978079	0.00036535525805044114	0.0005280074946450497	0.00038285317814024686	0.0	0.0	0.0	0.0	0.0	0.0
Glucose 6-phosphate	53         Glucose 6-phosphate	C6H13O9P	[M-H]-	13.6	14.4	15.0	0.2	259.0224	259.0216	-3.3	S10228	13.65	13.64	13.77	0.14	13	4.427436218989817e-06	2.5104792314247668e-06	3.404280431192992e-06	3.5114759030721915e-06	2.3547406742552054e-05	1.767662801874967e-05	1.7158863892255333e-05	1.7526133108159902e-05	0.0	0.0	0.0	0.0	0.0	0.0
Glutathione	54         Glutathione	C10H17N3O6S	[M+H]+	10.0	13.0	15.0	0.2	308.0911	308.0905	-1.9	S10235	11.26	11.09	11.51	0.42	16	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Glycerol 3-phosphate	55         Glycerol 3-phosphate	C3H9O6P	[M-H]-	11.5	13.0	15.0	0.2	171.0064	171.0056	-4.7	S10228	11.9	11.73	12.11	0.38	16	1.8339435077434924e-05	1.3293331201206026e-05	1.4653487407814264e-05	1.6264418845929178e-05	0.0	0.0	5.065047431494472e-05	4.849100732767617e-05	0.0	0.0	0.0	0.0	0.0	0.0
Glycine	56         Glycine	C2H5NO2	[M+H]+	10.7	12.7	15.0	0.2	76.0393	76.0399	7.8	S10230	11.8	11.56	11.87	0.31	17	0.0023342590373872643	0.002529254232240138	0.002369525663604358	0.0024884229305894862	0.0	0.0020063243816574546	0.0020797910871078124	0.0019838580095599308	0.0	0.0	0.0	0.0	0.0	0.0
Guanidoacetic acid	57         Guanidoacetic acid	C3H7N3O2	[M+H]+	10.7	12.7	15.0	0.2	118.0611	118.0612	0.8	S10230	11.87	11.62	11.93	0.31	17	0.002124273252358633	0.0022176813128693944	0.0021677123113671235	0.002238287722275952	0.0	0.0016427174019251714	0.0016086282541279205	0.0015928745360464505	0.0	0.0	0.0	0.0	0.0	0.0
Guanine	58         Guanine	C5H5N5O	[M+H]+	7.7	9.7	15.0	0.2	152.0567	152.0544	-15.0	S10228	8.35	8.13	8.58	0.45	15	1.1231422196605933e-05	4.867147749838635e-06	6.454139313543482e-06	5.1838776119526036e-06	0.0	7.181445934336373e-05	5.478783257783659e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Guanosine	59         Guanosine	C10H13N5O5	[M+H]+	7.7	9.7	15.0	0.2	284.0989	284.0965	-8.6	SQ567_Blank_0	9.56	9.31	9.56	0.25	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Guanosine diphosphate	60         Guanosine diphosphate	C10H15N5O11P2	[M-H]-	13.8	15.8	15.0	0.2	442.0171	442.0135	-8.1	S10234	14.8	14.8	14.81	0.01	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Guanosine monophosphate	61         Guanosine monophosphate	C10H14N5O8P	[M+H]+	12.6	14.6	15.0	0.2	364.0653	364.0618	-9.6	SQ567_Blank_0	12.75	12.75	13.0	0.25	4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Guanosine triphosphate	62         Guanosine triphosphate	C10H16N5O14P3	[M-H]-	15.0	17.0	15.0	0.2	521.9834	521.9783	-9.8	SQ567_Blank_2	16.37	16.37	16.37	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Homocysteine	63         Homocysteine	C4H9NO2S	[M-H]-	7.3	9.3	15.0	0.2	134.0281	134.0274	-5.4	S10228	8.47	8.38	8.47	0.09	8	1.3352296808093301e-05	1.1407707991388036e-05	1.2497238286189467e-05	1.1269353456778211e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Hypotaurine	64         Hypotaurine	C2H7NO2S	[M+H]+	10.0	12.0	15.0	0.2	110.027	110.0272	1.6	S10230	11.23	11.02	11.28	0.26	11	0.00017039981632947538	0.00018550893799929355	0.00019519096847043143	0.00021526330517251333	5.5615772925040894e-05	0.00011147456181046123	0.000101890065109221	0.0001133427047976598	0.0	0.0	0.0	0.0	0.0	0.0
Hypoxanthine	65         Hypoxanthine	C5H4N4O	[M+H]+	5.8	7.8	15.0	0.2	137.0458	137.0455	-2.1	S10230	7.0	6.76	7.09	0.33	17	0.029714093053492117	0.03130263152506618	0.02964545767078164	0.03117248879678674	0.013667344903105958	0.013124036863897123	0.012495441541954828	0.013552641512787995	0.0	0.0	0.0	0.0	0.0	0.0
Inosine	66         Inosine	C10H12N4O5	[M+H]+	6.4	8.4	15.0	0.2	269.08799999999997	269.0889	3.2	S10228	7.68	7.56	7.86	0.31	10	2.418116016158776e-05	2.3304245655063832e-05	2.3622830924996715e-05	2.3051213452177344e-05	0.0	1.3675707327431402e-05	0.0	1.1596435564109066e-05	0.0	0.0	0.0	0.0	0.0	0.0
Inosinic acid	67         Inosinic acid	C10H13N4O8P	[M+H]+	11.4	13.4	15.0	0.2	349.0544	0.0	0.0		0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Acetylcarnitine	68         L-Acetylcarnitine	C9H17NO4	[M+H]+	6.3	8.3	15.0	0.2	204.123	204.1227	-1.6	S10230	7.66	7.44	7.78	0.33	17	0.011732126978201965	0.010401088973503423	0.011982281305382909	0.010976096170837859	0.011250906908046164	0.009285740047916257	0.009072561375187464	0.009170997808636738	0.0	0.0	0.0	0.0	0.0	0.0
L-Alanine	69         L-Alanine	C3H7NO2	[M+H]+	10.6	11.2	15.0	0.2	90.055	90.0553	3.8	S10228	11.05	10.81	11.05	0.24	17	0.01691929686873879	0.01774482472547183	0.016755551740971344	0.017310233739294186	0.013500245796771794	0.022682783938219268	0.023082536742331454	0.02257281574840216	0.0	0.0	0.0	0.0	0.0	0.0
L-Arginine	70         L-Arginine	C6H14N4O2	[M+H]+	18.5	21.0	15.0	0.2	175.11900000000003	175.1187	-1.4	S10228	20.27	20.23	20.47	0.25	17	0.001940668632392953	0.0	0.0	0.0020623985210159426	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Asparagine	71         L-Asparagine	C4H8N2O3	[M+H]+	10.3	12.3	15.0	0.2	133.0608	133.0606	-1.3	S10228	11.52	11.29	11.54	0.25	17	0.0004406871485760466	0.00037759027986431463	0.0004042970629127855	0.00042749834840481916	0.000106063459812638	0.0002251916603390644	0.0002621449832584269	0.00024466040110546086	0.0	0.0	0.0	0.0	0.0	0.0
L-Aspartic acid	72         L-Aspartic acid	C4H7NO4	[M-H]-	10.8	12.8	15.0	0.2	132.0302	132.0291	-8.6	S10230	11.69	11.44	11.8	0.35	17	0.001341817302836447	0.0012677660563116867	0.001332104372549333	0.0012757339099962743	0.0006415746092216387	0.0009184405132872748	0.000985530080405935	0.0009906821317500368	0.0	0.0	0.0	0.0	0.0	0.0
L-Carnitine	73         L-Carnitine	C7H16NO3	[Cat]+	8.3	10.3	15.0	0.2	162.1125	162.1122	-1.7	S10230	9.69	9.45	9.72	0.26	17	0.034104949340584244	0.03187799510449388	0.03393334023934165	0.03298687729721398	0.024547190728735183	0.02513610440873192	0.025053872839885083	0.02572304383488552	0.0	0.0	0.0	0.0	0.0	0.0
L-Cystathionine	74         L-Cystathionine	C7H14N2O4S	[M+H]+	12.2	14.2	15.0	0.2	223.0747	223.0743	-1.8	S10228	13.26	13.01	13.36	0.35	17	0.0001877402187997941	7.58364922146433e-05	0.00011854342984374932	0.00010331014613382891	0.00011630945680824092	0.00018877363574100524	0.00019720420216107562	0.00023007131138159302	0.0	0.0	0.0	0.0	0.0	0.0
L-Cysteine	75         L-Cysteine	C3H7NO2S	[M+H]+	13.0	17.0	15.0	0.2	122.027	122.0273	2.2	S10235	13.26	13.01	13.47	0.46	17	0.0	0.0	0.0	0.0	5.147357480257575e-05	2.51704305627412e-05	0.0	3.971403807972954e-05	0.0	0.0	0.0	0.0	0.0	0.0
