Skeleton_Metabolite	Metabolite	Formula	Ion Type	RT Start (min)	RT End (min)	m/z Tolerance (ppm)	RT Tolerance (min)	mz	obs_mz	ppm	winner	RT	RT_min	RT_max	RT_range	detections	S10228	S10229	S10230	S10231	S10232	S10233	S10234	S10235	SQ567_Blank_0	SQ567_Blank_1	SQ567_Blank_2	SQ567_Blank_3	SQ567_Blank_4	SQ567_Blank_5
L-Cystine	76         L-Cystine	C6H12N2O4S2	[M-H]-	11.7	13.7	15.0	0.2	239.0166	239.0155	-4.5	S10235	12.67	12.45	12.72	0.27	17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
L-Glutamic acid	77         L-Glutamic acid	C5H9NO4	[M+H]+	10.0	13.0	15.0	0.2	148.0604	148.0601	-2.3	S10228	11.5	11.33	11.61	0.27	17	0.024468278577596758	0.0232736277100051	0.02323597668133449	0.023368888484290043	0.04001490802517252	0.03909612607183873	0.042549188263513164	0.04128638985630983	0.0	0.0	0.0	0.0	0.0	0.0
L-Glutamine	78         L-Glutamine	C5H10N2O3	[M+H]+	10.1	12.1	15.0	0.2	147.0764	147.0761	-2.2	S10230	11.27	11.04	11.42	0.38	17	0.05715973949805553	0.05616660817385443	0.05778286474811205	0.05814632783705559	0.06984616868099036	0.08766069232866874	0.09109535205719303	0.08659290491541864	0.0	0.0	0.0	0.0	0.0	0.0
L-Histidine	79         L-Histidine	C6H9N3O2	[M+H]+	9.9	11.9	15.0	0.2	156.0768	156.0764	-2.3	S10228	10.8	10.56	10.86	0.3	17	0.011931038788979187	0.011943410517148914	0.011832529637656516	0.012106707848310218	0.019480946317846616	0.025393774725603745	0.02680533983302611	0.02478929124842041	0.0	0.0	0.0	0.0	0.0	0.0
L-Isoleucine	80         L-Isoleucine	C6H13NO2	[M+H]+	6.0	7.5	15.0	0.2	132.1019	132.1018	-0.8	S10230	7.44	7.32	7.45	0.13	17	0.0204765916348836	0.01913758457705335	0.0212269243296309	0.01838291423903816	0.03465343743133556	0.02787298588427316	0.026628274780854597	0.027997937660091902	0.0	0.0	0.0	0.0	0.0	0.0
L-Kynurenine	81         L-Kynurenine	C10H12N2O3	[M+H]+	6.0	8.0	15.0	0.2	209.0921	209.0917	-1.8	S10235	7.44	7.21	7.62	0.41	17	0.00023131835633395523	0.00019830815228495208	0.0002510588059418395	0.0002046523534475612	0.005501813465931954	0.003665730813497319	0.0035497255783710287	0.0037491052941223094	0.0	0.0	0.0	0.0	0.0	0.0
L-Lactic acid	82         L-Lactic acid	C3H6O3	[M-H]-	6.2	8.2	15.0	0.2	89.0244	89.0231	-14.8	S10230	7.17	6.93	7.38	0.46	17	0.11514048693843935	0.11333235535835635	0.11849032504362825	0.1145850937913539	0.04014726630388358	0.03315820854837597	0.031613568029664384	0.031816306969497665	0.0	0.0	0.0	0.0	0.0	0.0
L-Leucine	83         L-Leucine	C6H13NO2	[M+H]+	7.5	9.0	15.0	0.2	132.1019	132.1018	-0.8	S10230	7.48	7.45	7.73	0.28	17	0.020838441549919026	0.019207072411923848	0.02084578677055297	0.0195285128157347	0.033198053811458586	0.02895796391747764	0.02745332225297779	0.02668399485719175	0.0	0.0	0.0	0.0	0.0	0.0
L-Lysine	84         L-Lysine	C6H14N2O2	[M+H]+	18.0	20.0	15.0	0.2	147.1128	147.1125	-2.1	S10228	19.17	19.17	19.33	0.16	17	0.00261605713495902	0.0017583050703124034	0.002171370167420385	0.002558706492317829	0.0	0.011096090055284244	0.00992086709820013	0.010126123204993006	0.0	0.0	0.0	0.0	0.0	0.0
L-Malic acid	85         L-Malic acid	C4H6O5	[M-H]-	12.2	14.2	15.0	0.2	133.0142	133.013	-9.4	S10228	12.93	12.68	12.94	0.26	17	0.01158208700961444	0.010527903022430042	0.01046088802008156	0.011417729208879158	0.013069929147320506	0.014147625798953432	0.016838814514814334	0.014503066209738031	0.0	0.0	0.0	0.0	0.0	0.0
L-Methionine	86         L-Methionine	C5H11NO2S	[M+H]+	6.8	8.8	15.0	0.2	150.0583	150.058	-2.2	S10230	8.1	7.86	8.13	0.27	17	0.006128248651666943	0.005778670410453388	0.006078729722510175	0.006137370027057418	0.0057355367314934425	0.005008371814006335	0.004581911821790233	0.005002794616243925	0.0	0.0	0.0	0.0	0.0	0.0
L-Phenylalanine	87         L-Phenylalanine	C9H11NO2	[M+H]+	5.6	7.6	15.0	0.2	166.0863	166.08599999999996	-1.5	S10230	6.95	6.7	7.16	0.46	17	0.02149426526607674	0.021186839313907985	0.02232807722405172	0.021879886456849032	0.027156480427446932	0.021061757865442832	0.020513240646802496	0.020783100517074073	0.0	0.0	0.0	0.0	0.0	0.0
L-Proline	88         L-Proline	C5H9NO2	[M+H]+	7.9	9.9	15.0	0.2	116.0706	116.0707	0.8	S10230	9.23	8.98	9.24	0.26	17	0.06216335149511362	0.06292057116653689	0.061870681893335465	0.06044702214307219	0.06227325615382584	0.06494776597761777	0.0629370266648	0.0648838563869964	0.0	0.0	0.0	0.0	0.0	0.0
L-Serine	89         L-Serine	C3H7NO3	[M+H]+	10.8	12.8	15.0	0.2	106.0499	106.0501	2.2	S10230	11.87	11.63	11.95	0.32	17	0.0036484479842761454	0.0036984591046421576	0.003807035488356322	0.0038118387958386525	0.0	0.003237534917759725	0.0037029339524247812	0.003495758489888948	0.0	0.0	0.0	0.0	0.0	0.0
L-Threonine	90         L-Threonine	C4H9NO3	[M-H]-	9.5	11.5	15.0	0.2	118.051	118.0498	-9.9	S10228	10.79	10.56	10.88	0.33	17	0.0004126787843942946	0.00039750816637612835	0.00038961184077276965	0.00042863701213451095	0.0001128137086048034	0.0001891530571521452	0.00015560800798896117	0.00015466230540907836	0.0	0.0	0.0	0.0	0.0	0.0
L-Tryptophan	91         L-Tryptophan	C11H12N2O2	[M+H]+	6.8	8.8	15.0	0.2	205.0972	205.0967	-2.2	S10230	8.14	7.91	8.37	0.46	17	0.00356695780364859	0.003142872218298317	0.0035577822375589844	0.003380603940968168	0.02775445362917705	0.019182778517454053	0.01887269853098389	0.018654099177985668	0.0	0.0	0.0	0.0	0.0	0.0
L-Tyrosine	92         L-Tyrosine	C9H11NO3	[M+H]+	8.2	10.2	15.0	0.2	182.0812	182.0809	-1.5	S10230	9.46	9.22	9.46	0.25	17	0.00513090104230237	0.004697557499648252	0.005255340159315926	0.0048480552614732645	0.007299742934388169	0.006379613655608833	0.006044715125785679	0.006402816544049356	0.0	0.0	0.0	0.0	0.0	0.0
L-Valine	93         L-Valine	C5H11NO2	[M+H]+	8.3	9.2	15.0	0.2	118.0863	118.0863	0.4	S10230	8.92	8.67	9.05	0.38	17	0.031094352846628308	0.030452563934834937	0.031171439294633438	0.031119004640791783	0.031056458918114087	0.027916638639168382	0.027509985778254187	0.028144562619566743	0.0	0.0	0.0	0.0	0.0	0.0
N6-Acetyl-L-lysine	94         N6-Acetyl-L-lysine	C8H16N2O3	[M+H]+	1.9	3.9	15.0	0.2	189.1234	189.1217	-8.8	S10230	3.19	3.17	3.4	0.24	17	0.0	0.0	0.00011864508173197617	8.862366611682165e-05	0.0011179273933051301	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
N-Acetylglutamic acid	95         N-Acetylglutamic acid	C7H11NO5	[M+H]+	10.3	12.3	15.0	0.2	190.071	190.0706	-2.1	S10228	11.19	11.02	11.39	0.37	17	1.207056895485571e-05	1.1325154897764216e-05	1.0855595552139282e-05	1.2414488802044188e-05	3.8994280713520455e-05	3.147452190231088e-05	3.5917483741316245e-05	2.5251264260136095e-05	0.0	0.0	0.0	0.0	0.0	0.0
N-Acetylglutamine	96         N-Acetylglutamine	C7H12N2O4	[M-H]-	6.8	8.8	15.0	0.2	187.0724	187.0718	-3.4	S10229	7.04	6.85	7.28	0.42	14	0.0	5.56470336626697e-06	0.0	3.2325152106947867e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
N-Acetyl-L-alanine	97         N-Acetyl-L-alanine	C5H9NO3	[M+H]+	6.0	7.0	15.0	0.2	132.0655	132.0654	-0.9	S10231	6.86	6.61	6.92	0.31	17	0.00037192942774909847	0.00039147542181675385	0.00033738997142319504	0.0004180260604095588	0.00044482546837671056	0.0003650989418913417	0.00033391562193009787	0.00031496195457118256	0.0	0.0	0.0	0.0	0.0	0.0
N-Acetyl-L-methionine	98         N-Acetyl-L-methionine	C7H13NO3S	[M+H]+	3.0	5.0	15.0	0.2	192.0689	192.06900000000002	0.6	S10230	4.2	3.96	4.2	0.25	9	1.914587329481115e-05	1.604966724420915e-05	2.0575994398094e-05	1.5803117546324217e-05	3.652207821521005e-05	2.4687196513686457e-05	2.1259825591050572e-05	2.2532691779463276e-05	0.0	0.0	0.0	0.0	0.0	0.0
N-Acetyl-L-phenylalanine	99         N-Acetyl-L-phenylalanine	C11H13NO3	[M+H]+	2.8	4.0	15.0	0.2	208.0968	208.0965	-1.5	S10228	3.55	3.32	3.61	0.29	17	0.0001302388071027253	0.00011326909301209498	0.00011493100986738615	0.00010258123785338004	0.00024256276554123485	0.00024607637447815467	0.00019422899465410649	0.00023639266767285942	0.0	0.0	0.0	0.0	0.0	0.0
N-Acetylornithine	100         N-Acetylornithine	C7H14N2O3	[M+H]+	8.6	10.6	15.0	0.2	175.1077	175.1075	-1.3	S10230	9.86	9.63	10.08	0.45	17	0.015063686492149559	0.01462478690916618	0.015549191862355632	0.014900334894264037	0.017840495328759327	0.01742050846057519	0.017757983501691426	0.015459863901556547	0.0	0.0	0.0	0.0	0.0	0.0
N-Acetylserine	101         N-Acetylserine	C5H9NO4	[M-H]-	7.5	8.5	15.0	0.2	146.0459	146.0448	-7.4	S10228	7.93	7.68	8.17	0.49	17	0.000578492599187067	0.0005232061263164601	0.0005526171416087477	0.0005361949223643577	0.00018030682768705142	0.00014336433426443134	0.00013386063772536036	0.00014662337059553998	0.0	0.0	0.0	0.0	0.0	0.0
NAD	102         NAD	C21H28N7O14P2	[Cat]+	9.9	11.9	15.0	0.2	664.1164	664.1215	7.7	S10229	11.61	11.48	11.61	0.14	4	0.0	2.0647886575517792e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NADH	103         NADH	C21H29N7O14P2	[M-H]-	9.5	11.5	15.0	0.2	664.1175	664.1233	8.7	S10233	10.25	10.03	10.25	0.22	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NADP	104         NADP	C21H29N7O17P3	[Cat]+	12.7	14.7	15.0	0.2	744.0827	744.0765	-8.4	S10228	14.06	13.83	14.24	0.41	12	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
NADPH	105         NADPH	C21H30N7O17P3	[M-H]-	13.0	15.0	15.0	0.2	744.0838	744.0778	-8.1	S10234	13.31	13.31	13.44	0.12	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Niacinamide	106         Niacinamide	C6H6N2O	[M+H]+	3.3	5.3	15.0	0.2	123.0553	123.0552	-0.7	S10230	4.7	4.54	4.74	0.2	17	0.01326982902809504	0.013216081693230214	0.013865148302238235	0.012971260282894888	0.003408493859837733	0.0024822355056076067	0.0024537784796765817	0.0024140947461564173	0.0	0.0	0.0	0.0	0.0	0.0
Nicotinic acid	107         Nicotinic acid	C6H5NO2	[M-H]-	5.5	7.5	15.0	0.2	122.0248	122.0238	-7.8	S10230	7.36	7.13	7.46	0.33	17	0.0	0.0	9.988985500080386e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
O-Phosphoethanolamine	108         O-Phosphoethanolamine	C2H8NO4P	[M+H]+	11.4	13.4	15.0	0.2	142.0264	142.0268	3.0	SQ567_Blank_0	13.41	13.41	13.41	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ornithine	109         Ornithine	C5H12N2O2	[M+H]+	17.0	19.0	15.0	0.2	133.0972	133.097	-1.2	S10228	17.52	17.39	17.64	0.25	17	0.002462637622412296	0.0018451427536105315	0.0020703678841244365	0.002313544436730186	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Orotic acid	110         Orotic acid	C5H4N2O4	[M-H]-	6.7	8.7	15.0	0.2	155.0098	155.0092	-4.1	S10228	7.52	7.33	7.77	0.44	10	4.845333539343236e-06	5.20192637987642e-06	4.472783827163307e-06	4.756296835602052e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Orotidylic acid	111         Orotidylic acid	C10H13N2O11P	[M+H]+	0.0	30.0	15.0	0.2	369.033	369.0307	-6.2	S10230	6.27	6.27	6.27	0.0	1	0.0	0.0	2.454051878412302e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Oxidized glutathione	112         Oxidized glutathione	C20H32N6O12S2	[M+H]+	13.5	15.5	15.0	0.2	613.1592	613.1543	-8.1	S10232	13.96	13.85	14.03	0.18	4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Oxoadipic acid	113         Oxoadipic acid	C6H8O5	[M-H]-	7.5	9.5	15.0	0.2	159.0299	159.029	-5.7	SQ567_Blank_0	8.15	7.95	8.38	0.43	15	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Oxoglutaric acid	114         Oxoglutaric acid	C5H6O5	[M-H]-	10.8	14.8	15.0	0.2	145.0142	145.0132	-7.2	S10228	12.52	12.27	12.7	0.43	17	0.00036561820305029485	0.00029424782485473934	0.00034606050473177404	0.0003086560978189698	0.0004703953733260755	0.00031045399042399334	0.00033627293427914735	0.0004811992456738328	0.0	0.0	0.0	0.0	0.0	0.0
Palmitic acid	115         Palmitic acid	C16H32O2	[M-H]-	1.6	3.6	15.0	0.2	255.233	255.2325	-1.8	S10235	2.83	2.83	2.9	0.07	17	0.004513337379986607	0.004918032659628944	0.005348127277524093	0.005289828631389118	0.07226880533442229	0.042969531770744834	0.039525950834844066	0.05139531662064923	0.0	0.0	0.0	0.0	0.0	0.0
Pantothenic acid	116         Pantothenic acid	C9H17NO5	[M+H]+	5.1	7.1	15.0	0.2	220.118	220.1175	-2.0	S10230	6.05	5.8	6.29	0.49	17	0.022044527753427617	0.02151689595505633	0.02279165174436173	0.0216230255368973	0.06431637517617181	0.04797621869645085	0.04193652405364278	0.042612938827568635	0.0	0.0	0.0	0.0	0.0	0.0
Phenol	117         Phenol	C6H6O	[M-H]-	2.1	4.1	15.0	0.2	93.0346	93.0333	-13.9	SQ567_Blank_3	3.44	3.39	3.69	0.31	17	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Phosphocreatine	118         Phosphocreatine	C4H10N3O5P	[M-H]-	11.2	13.2	15.0	0.2	210.0285	210.0255	-14.4	SQ567_Blank_0	12.51	12.51	12.51	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Phosphoenolpyruvic acid	119         Phosphoenolpyruvic acid	C3H5O6P	[M-H]-	13.6	15.6	15.0	0.2	166.9751	166.9742	-5.4	SQ567_Blank_0	14.2	14.2	14.2	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Phosphoribosyl pyrophosphate	120         Phosphoribosyl pyrophosphate	C5H13O14P3	[M-H]-	15.0	18.0	15.0	0.2	388.9445	0.0	0.0		0.0	0.0	0.0	0.0	0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Phosphorylcholine	121         Phosphorylcholine	C5H14NO4P	[M+H]+	10.0	13.0	15.0	0.2	184.0733	184.0732	-0.7	S10228	11.77	11.54	12.01	0.47	15	6.33254619796316e-05	3.642309782869812e-05	4.115410444500144e-05	3.672119567559286e-05	0.00015822564431156928	0.00010494630866866845	6.625190383655336e-05	0.000113235455444974	0.0	0.0	0.0	0.0	0.0	0.0
Phosphoserine	122         Phosphoserine	C3H8NO6P	[M+H]+	11.5	13.5	15.0	0.2	186.0162	186.0152	-5.4	S10229	11.59	11.59	11.65	0.06	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Pipecolic acid	123         Pipecolic acid	C6H11NO2	[M+H]+	7.5	9.5	15.0	0.2	130.0863	130.086	-2.0	S10228	7.72	7.53	7.76	0.23	17	0.0031258055233686303	0.002766208287486035	0.002878054698844585	0.003065923336735307	0.0015478962245934627	0.001528302094504398	0.0015624850287388962	0.0014140207488697015	0.0	0.0	0.0	0.0	0.0	0.0
Propionylcarnitine	124         Propionylcarnitine	C10H19NO4	[M+H]+	5.2	7.2	15.0	0.2	218.1387	218.1381	-2.7	S10228	6.62	6.43	6.75	0.32	17	0.004938205479560233	0.004019749496465844	0.0048957455468890115	0.0041805787350927565	0.005870798179315496	0.004612985305329371	0.004451961698625954	0.004392723753943177	0.0	0.0	0.0	0.0	0.0	0.0
Pyruvic acid	125         Pyruvic acid	C3H4O3	[M-H]-	5.5	7.5	15.0	0.2	87.0088	87.0077	-12.3	S10228	7.19	6.97	7.41	0.44	17	0.00021172157243995864	0.00016895481968225647	0.00018796703522433943	0.00017697314010010998	0.0	9.440886657236064e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ribose 1-phosphate	126         Ribose 1-phosphate	C5H11O8P	[M-H]-	11.0	12.4	15.0	0.2	229.0119	229.0104	-6.5	S10228	11.9	11.86	11.99	0.14	11	2.3140784771441986e-06	0.0	1.954255032531788e-06	1.6046200510255847e-06	1.592234257083293e-05	1.252641874308257e-05	1.1972776724346475e-05	1.1864956165648344e-05	0.0	0.0	0.0	0.0	0.0	0.0
Saccharopine	127         Saccharopine	C11H20N2O6	[M-H]-	11.0	14.0	15.0	0.2	275.1249	275.1243	-2.0	S10228	12.43	12.29	12.44	0.14	6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
S-Adenosylhomocysteine	128         S-Adenosylhomocysteine	C14H20N6O5S	[M-H]-	8.6	10.6	15.0	0.2	383.1143	383.119	12.2	S10230	9.33	9.24	9.54	0.3	3	2.2518103543010663e-06	0.0	4.974494831494077e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
S-Adenosylmethionine	129         S-Adenosylmethionine	C15H22N6O5S	[M+H]+	10.7	12.7	15.0	0.2	399.1445	399.1408	-9.3	S10228	12.27	12.14	12.34	0.2	11	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Sarcosine	130         Sarcosine	C3H7NO2	[M+H]+	11.2	12.0	15.0	0.2	90.055	90.0553	3.8	S10228	11.21	11.2	11.45	0.25	17	0.0041405189300333925	0.002863152776604413	0.002552412421556531	0.003379216517418777	0.0	0.0026974960631514578	0.0032325557616522753	0.004646694987741065	0.0	0.0	0.0	0.0	0.0	0.0
Succinic acid	131         Succinic acid	C4H6O4	[M-H]-	11.3	13.3	15.0	0.2	117.0193	117.0181	-10.5	S10228	12.15	11.92	12.18	0.26	17	0.014658250110075769	0.012542275412207718	0.013713055316491632	0.012892479149306432	0.014769536159523453	0.012510471100767851	0.013605616311484166	0.013244196346661864	0.0	0.0	0.0	0.0	0.0	0.0
Taurine	132         Taurine	C2H7NO3S	[M-H]-	10.2	12.2	15.0	0.2	124.0074	124.0062	-9.6	S10230	11.22	10.99	11.3	0.31	14	0.00227528878873047	0.0024182413501245216	0.0022808817917343645	0.00239181964893271	0.0002012778035928991	0.00040982381491440654	0.00040082943537417617	0.0004415153963007852	0.0	0.0	0.0	0.0	0.0	0.0
Thymidine	133         Thymidine	C10H14N2O5	[M-H]-	3.5	5.5	15.0	0.2	241.083	241.0824	-2.5	S10230	4.65	4.41	4.86	0.45	17	4.527024583811036e-05	3.771270452559888e-05	4.70587795381393e-05	3.758475897482873e-05	3.472208994429432e-05	0.0	2.4902021295883578e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Uracil	134         Uracil	C4H4N2O2	[M+H]+	5.4	7.4	15.0	0.2	113.0346	113.0347	1.3	S10228	5.76	5.52	6.0	0.48	17	0.00021444349188482745	0.0002073463341436355	0.0001999168241937552	0.0001975331221676129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Ureidopropionic acid	135         Ureidopropionic acid	C4H8N2O3	[M-H]-	10.4	12.4	15.0	0.2	131.0462	131.0453	-7.0	S10230	11.45	11.25	11.55	0.3	14	4.633266394058396e-05	4.965418375698255e-05	4.882343213891395e-05	4.645700331554502e-05	2.430511162952829e-05	4.218651622166128e-05	3.753586119603172e-05	3.756269550881721e-05	0.0	0.0	0.0	0.0	0.0	0.0
Ureidosuccinic acid	136         Ureidosuccinic acid	C5H8N2O5	[M-H]-	12.8	14.8	15.0	0.2	175.03599999999997	175.0346	-8.3	S10228	13.54	13.33	13.75	0.42	9	1.5589378161069315e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Uric acid	137         Uric acid	C5H4N4O3	[M+H]+	8.8	10.8	15.0	0.2	169.0356	169.0355	-0.7	S10228	9.81	9.74	10.02	0.28	9	0.0001207724271614575	8.405911680051032e-05	0.00011379228707984587	7.944101130278026e-05	3.8741322049553116e-05	2.903997773882215e-05	3.7427517935465e-05	3.952893364139033e-05	0.0	0.0	0.0	0.0	0.0	0.0
Uridine	138         Uridine	C9H12N2O6	[M-H]-	5.5	7.5	15.0	0.2	243.0623	243.0616	-2.7	S10230	6.73	6.5	6.86	0.37	15	0.00037028099855252703	0.0003284869307233023	0.0003993894628818689	0.0003217925691374276	0.0002644940474862178	0.00023554628194913285	0.00021707249399922232	0.00019961885073602005	0.0	0.0	0.0	0.0	0.0	0.0
Uridine 5'-diphosphate	139         Uridine 5'-diphosphate	C9H14N2O12P2	[M+H]+	12.4	14.4	15.0	0.2	405.0095	405.014	11.2	SQ567_Blank_2	13.71	13.71	13.71	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Uridine 5'-monophosphate	140         Uridine 5'-monophosphate	C9H13N2O9P	[M-H]-	11.2	13.2	15.0	0.2	323.0286	323.0275	-3.4	SQ567_Blank_0	12.28	12.28	12.28	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Uridine diphosphate glucose	141         Uridine diphosphate glucose	C15H24N2O17P2	[M-H]-	12.4	14.4	15.0	0.2	565.0478	565.0479	0.3	S10231	13.33	13.29	13.41	0.13	3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Uridine diphosphate-N-acetylglucosamine	142         Uridine diphosphate-N-acetylglucosamine	C17H27N3O17P2	[M+H]+	11.2	13.2	15.0	0.2	608.0889	608.0875	-2.2	S10228	12.0	11.9	12.24	0.34	6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Uridine triphosphate	143         Uridine triphosphate	C9H15N2O15P3	[M-H]-	15.0	18.0	15.0	0.2	482.9613	482.9577	-7.4	SQ567_ISTD_0	15.78	15.68	15.78	0.1	2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Valerylcarnitine	144         Valerylcarnitine	C12H23NO4	[M+H]+	3.6	5.7	15.0	0.2	246.17	246.1695	-2.0	S10230	5.06	4.93	5.19	0.26	17	0.0007160665505289857	0.0006406434896511506	0.0007359361971351345	0.0006148848856491987	0.0009263416540779424	0.0006689511835006822	0.000612979928903121	0.0006156986727779795	0.0	0.0	0.0	0.0	0.0	0.0
Xanthine	145         Xanthine	C5H4N4O2	[M-H]-	7.5	9.4	15.0	0.2	151.0261	151.025	-7.6	S10228	8.4	8.15	8.53	0.37	17	0.0024924208820433762	0.0023352955585240467	0.0023814234680600717	0.0022802778348628826	0.0017002874241648224	0.0015971050686523216	0.0015335683817799815	0.0015215402110363464	0.0	0.0	0.0	0.0	0.0	0.0
Xanthosine	146         Xanthosine	C10H12N4O6	[M-H]-	6.7	8.7	15.0	0.2	283.0684	283.0675	-3.2	S10228	7.73	7.67	7.76	0.1	8	1.7008034936970106e-05	1.5573214527733985e-05	1.5036520588229044e-05	1.7394340217740302e-05	3.179081431508023e-05	2.301608865203136e-05	1.7110617284034215e-05	2.1612730665313907e-05	0.0	0.0	0.0	0.0	0.0	0.0
Xanthylic acid	147         Xanthylic acid	C10H13N4O9P	[M-H]-	11.0	13.0	15.0	0.2	363.0347	363.0377	8.1	S10231	11.39	11.39	11.39	0.0	1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
